股票代码,股票简称
600519.SH,贵州茅台
300618.SZ,寒锐钴业
300616.SZ,尚品宅配
603986.SH,兆易创新
000661.SZ,长春高新
603180.SH,金牌厨柜
300676.SZ,华大基因
300613.SZ,富瀚微
603444.SH,吉比特
300176.SZ,鸿特精密
603833.SH,欧派家居
300567.SZ,精测电子
603799.SH,华友钴业
300628.SZ,亿联网络
002812.SZ,创新股份
300624.SZ,万兴科技
300661.SZ,圣邦股份
300685.SZ,艾德生物
002912.SZ,中新赛克
002304.SZ,洋河股份
000538.SZ,云南白药
300642.SZ,透景生命
300725.SZ,药石科技
603595.SH,东尼电子
603039.SH,泛微网络
300571.SZ,平治信息
600276.SH,恒瑞医药
600436.SH,片仔癀
002925.SZ,盈趣科技
603160.SH,汇顶科技
300554.SZ,三超新材
300572.SZ,安车检测
603978.SH,深圳新星
300679.SZ,电连技术
002841.SZ,视源股份
300732.SZ,设研院
300668.SZ,杰恩设计
000513.SZ,丽珠集团
603096.SH,新经典
300695.SZ,兆丰股份
002821.SZ,凯莱英
300630.SZ,普利制药
002460.SZ,赣锋锂业
002749.SZ,国光股份
300677.SZ,英科医疗
300308.SZ,中际旭创
603127.SH,昭衍新药
000858.SZ,五粮液
300738.SZ,奥飞数据
300450.SZ,先导智能
300696.SZ,爱乐达
603883.SH,老百姓
300700.SZ,岱勒新材
601318.SH,中国平安
603579.SH,荣泰健康
603737.SH,三棵树
300706.SZ,阿石创
603156.SH,养元饮品
603801.SH,志邦股份
002916.SZ,深南电路
300691.SZ,联合光电
300226.SZ,上海钢联
000963.SZ,华东医药
000418.SZ,小天鹅A
300602.SZ,飞荣达
300558.SZ,贝达药业
603338.SH,浙江鼎力
300666.SZ,江丰电子
002887.SZ,绿茵生态
300577.SZ,开润股份
300672.SZ,国科微
300713.SZ,英可瑞
603871.SH,嘉友国际
603816.SH,顾家家居
603078.SH,江化微
000938.SZ,紫光股份
300623.SZ,捷捷微电
300508.SZ,维宏股份
603260.SH,合盛硅业
603716.SH,塞力斯
603040.SH,新坐标
000423.SZ,东阿阿胶
300482.SZ,万孚生物
300607.SZ,拓斯达
300601.SZ,康泰生物
000596.SZ,古井贡酒
002594.SZ,比亚迪
603939.SH,益丰药房
300523.SZ,辰安科技
603288.SH,海天味业
002876.SZ,三利谱
300474.SZ,景嘉微
000028.SZ,国药一致
603458.SH,勘设股份
002927.SZ,泰永长征
600809.SH,山西汾酒
300595.SZ,欧普康视
300357.SZ,我武生物
000568.SZ,泸州老窖
002230.SZ,科大讯飞
603776.SH,永安行
002466.SZ,天齐锂业
601888.SH,中国国旅
002773.SZ,康弘药业
603233.SH,大参林
000333.SZ,美的集团
300699.SZ,光威复材
002832.SZ,比音勒芬
300687.SZ,赛意信息
603868.SH,飞科电器
002929.SZ,润建通信
300660.SZ,江苏雷利
300740.SZ,御家汇
603757.SH,大元泵业
300678.SZ,中科信息
300461.SZ,田中精机
300709.SZ,精研科技
600990.SH,四创电子
002008.SZ,大族激光
300545.SZ,联得装备
603387.SH,基蛋生物
603466.SH,风语筑
002880.SZ,卫光生物
002831.SZ,裕同科技
300547.SZ,川环科技
603059.SH,倍加洁
300648.SZ,星云股份
600009.SH,上海机场
300604.SZ,长川科技
601799.SH,星宇股份
603858.SH,步长制药
600570.SH,恒生电子
603658.SH,安图生物
300559.SZ,佳发安泰
300347.SZ,泰格医药
300518.SZ,盛讯达
002850.SZ,科达利
603533.SH,掌阅科技
603228.SH,景旺电子
603337.SH,杰克股份
603661.SH,恒林股份
002833.SZ,弘亚数控
300681.SZ,英搏尔
002049.SZ,紫光国芯
