代码,简称,日期,收盘价(元),
002355.SZ,兴民智通,20100209,7.0066,
002355.SZ,兴民智通,20100210,7.0258,
002355.SZ,兴民智通,20100211,6.8962,
002355.SZ,兴民智通,20100212,7.0834,
002355.SZ,兴民智通,20100222,7.0018,
002355.SZ,兴民智通,20100223,7.0258,
002355.SZ,兴民智通,20100224,7.5777,
002355.SZ,兴民智通,20100225,7.6545,
002355.SZ,兴民智通,20100226,7.6545,
002355.SZ,兴民智通,20100301,7.7024,
002355.SZ,兴民智通,20100302,7.5777,
002355.SZ,兴民智通,20100303,7.5873,
002355.SZ,兴民智通,20100304,7.4049,
002355.SZ,兴民智通,20100305,7.4289,
002355.SZ,兴民智通,20100308,7.4721,
002355.SZ,兴民智通,20100309,7.5201,
002355.SZ,兴民智通,20100310,7.4145,
002355.SZ,兴民智通,20100311,7.4337,
002355.SZ,兴民智通,20100312,7.4913,
002355.SZ,兴民智通,20100315,7.5489,
002355.SZ,兴民智通,20100316,7.4673,
002355.SZ,兴民智通,20100317,7.6209,
002355.SZ,兴民智通,20100318,7.6305,
002355.SZ,兴民智通,20100319,7.5249,
002355.SZ,兴民智通,20100322,7.4913,
002355.SZ,兴民智通,20100323,7.4193,
002355.SZ,兴民智通,20100324,7.6305,
002355.SZ,兴民智通,20100325,7.7552,
002355.SZ,兴民智通,20100326,7.7696,
002355.SZ,兴民智通,20100329,7.904,
002355.SZ,兴民智通,20100330,8.3743,
002355.SZ,兴民智通,20100331,8.4559,
002355.SZ,兴民智通,20100401,8.4655,
002355.SZ,兴民智通,20100402,8.3263,
002355.SZ,兴民智通,20100406,8.5951,
002355.SZ,兴民智通,20100407,8.7534,
002355.SZ,兴民智通,20100408,8.7534,
002355.SZ,兴民智通,20100409,8.6143,
002355.SZ,兴民智通,20100412,8.6239,
002355.SZ,兴民智通,20100413,8.1536,
002355.SZ,兴民智通,20100414,8.1872,
002355.SZ,兴民智通,20100415,8.3023,
002355.SZ,兴民智通,20100416,8.4271,
002355.SZ,兴民智通,20100419,8.2879,
002355.SZ,兴民智通,20100420,8.4367,
002355.SZ,兴民智通,20100421,8.6719,
002355.SZ,兴民智通,20100422,8.7102,
002355.SZ,兴民智通,20100423,9.0654,
002355.SZ,兴民智通,20100426,9.0318,
002355.SZ,兴民智通,20100427,8.7006,
002355.SZ,兴民智通,20100428,8.5855,
002355.SZ,兴民智通,20100429,8.3023,
002355.SZ,兴民智通,20100430,8.2591,
