덜쯤,숌냔,휑퍅,澗턍송(禱),
002490.SZ,*ST카질,20101021,10.0432,
002490.SZ,*ST카질,20101022,10.2976,
002490.SZ,*ST카질,20101025,10.1851,
002490.SZ,*ST카질,20101026,9.8867,
002490.SZ,*ST카질,20101027,9.916,
002490.SZ,*ST카질,20101028,9.9307,
002490.SZ,*ST카질,20101029,10.1508,
002490.SZ,*ST카질,20101101,10.2731,
002490.SZ,*ST카질,20101102,10.4003,
002490.SZ,*ST카질,20101103,10.0775,
002490.SZ,*ST카질,20101104,10.2047,
002490.SZ,*ST카질,20101105,10.2144,
002490.SZ,*ST카질,20101108,10.4493,
002490.SZ,*ST카질,20101109,10.3416,
002490.SZ,*ST카질,20101110,10.4493,
002490.SZ,*ST카질,20101111,10.371,
002490.SZ,*ST카질,20101112,9.8329,
002490.SZ,*ST카질,20101115,9.9992,
002490.SZ,*ST카질,20101116,9.784,
002490.SZ,*ST카질,20101117,9.6421,
002490.SZ,*ST카질,20101118,9.7791,
002490.SZ,*ST카질,20101119,9.9307,
002490.SZ,*ST카질,20101122,9.9111,
002490.SZ,*ST카질,20101123,9.8329,
002490.SZ,*ST카질,20101124,10.1068,
002490.SZ,*ST카질,20101125,10.0726,
002490.SZ,*ST카질,20101126,10.0873,
002490.SZ,*ST카질,20101129,10.0481,
002490.SZ,*ST카질,20101130,9.7888,
002490.SZ,*ST카질,20101201,9.8084,
002490.SZ,*ST카질,20101202,9.8231,
002490.SZ,*ST카질,20101203,9.9063,
002490.SZ,*ST카질,20101206,9.7497,
002490.SZ,*ST카질,20101207,9.9307,
002490.SZ,*ST카질,20101208,9.9601,
002490.SZ,*ST카질,20101209,10.0041,
002490.SZ,*ST카질,20101210,9.9356,
002490.SZ,*ST카질,20101213,10.2389,
002490.SZ,*ST카질,20101214,10.371,
002490.SZ,*ST카질,20101215,10.2487,
002490.SZ,*ST카질,20101216,10.3563,
002490.SZ,*ST카질,20101217,10.4297,
002490.SZ,*ST카질,20101220,10.2927,
002490.SZ,*ST카질,20101221,10.6596,
002490.SZ,*ST카질,20101222,11.7261,
002490.SZ,*ST카질,20101223,11.413,
002490.SZ,*ST카질,20101224,10.8993,
002490.SZ,*ST카질,20101227,10.7575,
002490.SZ,*ST카질,20101228,10.4639,
002490.SZ,*ST카질,20101229,11.1977,
002490.SZ,*ST카질,20101230,11.1928,
002490.SZ,*ST카질,20101231,11.32,
002490.SZ,*ST카질,20110104,11.4228,
002490.SZ,*ST카질,20110105,11.1928,
002490.SZ,*ST카질,20110106,10.9433,
002490.SZ,*ST카질,20110107,11.0021,
002490.SZ,*ST카질,20110110,11.0118,
002490.SZ,*ST카질,20110111,10.6156,
002490.SZ,*ST카질,20110112,10.7085,
002490.SZ,*ST카질,20110113,10.6988,
002490.SZ,*ST카질,20110114,10.5667,
002490.SZ,*ST카질,20110117,9.9943,
002490.SZ,*ST카질,20110118,10.0432,
002490.SZ,*ST카질,20110119,10.2976,
002490.SZ,*ST카질,20110120,9.9747,
002490.SZ,*ST카질,20110121,9.5394,
002490.SZ,*ST카질,20110124,9.2458,
002490.SZ,*ST카질,20110125,9.5638,
002490.SZ,*ST카질,20110126,9.6127,
002490.SZ,*ST카질,20110127,9.6372,
002490.SZ,*ST카질,20110128,9.7008,
002490.SZ,*ST카질,20110131,9.9209,
002490.SZ,*ST카질,20110201,9.9992,
002490.SZ,*ST카질,20110209,9.8818,
002490.SZ,*ST카질,20110210,10.2829,
002490.SZ,*ST카질,20110211,10.2829,
002490.SZ,*ST카질,20110214,10.6645,
002490.SZ,*ST카질,20110215,11.2124,
002490.SZ,*ST카질,20110216,11.8777,
002490.SZ,*ST카질,20110217,11.956,
002490.SZ,*ST카질,20110218,11.9413,
002490.SZ,*ST카질,20110221,12.2153,
002490.SZ,*ST카질,20110222,11.6429,
002490.SZ,*ST카질,20110223,11.7407,
002490.SZ,*ST카질,20110224,12.0245,
002490.SZ,*ST카질,20110225,11.8288,
002490.SZ,*ST카질,20110228,11.9707,
002490.SZ,*ST카질,20110301,11.6429,
002490.SZ,*ST카질,20110302,11.8875,
002490.SZ,*ST카질,20110303,11.5206,
002490.SZ,*ST카질,20110304,11.5304,
002490.SZ,*ST카질,20110307,11.8092,
002490.SZ,*ST카질,20110308,11.7652,
002490.SZ,*ST카질,20110309,11.7212,
002490.SZ,*ST카질,20110310,11.8386,
002490.SZ,*ST카질,20110311,11.5451,
002490.SZ,*ST카질,20110314,11.2271,
002490.SZ,*ST카질,20110315,11.1733,
002490.SZ,*ST카질,20110316,11.2809,
002490.SZ,*ST카질,20110317,11.0608,
002490.SZ,*ST카질,20110318,11.1635,
002490.SZ,*ST카질,20110321,11.2613,
002490.SZ,*ST카질,20110322,11.1977,
002490.SZ,*ST카질,20110323,11.2564,
002490.SZ,*ST카질,20110324,11.3249,
002490.SZ,*ST카질,20110325,11.682,
002490.SZ,*ST카질,20110328,11.4913,
002490.SZ,*ST카질,20110329,11.0118,
002490.SZ,*ST카질,20110330,10.6743,
002490.SZ,*ST카질,20110331,10.64,
002490.SZ,*ST카질,20110401,10.7183,
002490.SZ,*ST카질,20110406,10.5569,
002490.SZ,*ST카질,20110407,10.7183,
002490.SZ,*ST카질,20110408,11.0118,
002490.SZ,*ST카질,20110411,10.5373,
002490.SZ,*ST카질,20110412,10.5177,
002490.SZ,*ST카질,20110413,10.5862,
002490.SZ,*ST카질,20110414,10.4737,
002490.SZ,*ST카질,20110415,10.5667,
002490.SZ,*ST카질,20110418,10.5813,
002490.SZ,*ST카질,20110419,10.1264,
002490.SZ,*ST카질,20110420,10.1851,
002490.SZ,*ST카질,20110421,10.2291,
002490.SZ,*ST카질,20110422,10.1264,
002490.SZ,*ST카질,20110425,9.9454,
002490.SZ,*ST카질,20110426,9.784,
002490.SZ,*ST카질,20110427,9.5247,
002490.SZ,*ST카질,20110428,9.1578,
002490.SZ,*ST카질,20110429,8.8056,
002490.SZ,*ST카질,20110503,8.7713,
002490.SZ,*ST카질,20110504,8.2283,
002490.SZ,*ST카질,20110505,8.2136,
002490.SZ,*ST카질,20110506,8.287,
002490.SZ,*ST카질,20110509,8.4093,
002490.SZ,*ST카질,20110510,8.4289,
002490.SZ,*ST카질,20110511,8.4533,
002490.SZ,*ST카질,20110512,8.199,
002490.SZ,*ST카질,20110513,8.3457,
002490.SZ,*ST카질,20110516,8.4338,
002490.SZ,*ST카질,20110517,8.4631,
002490.SZ,*ST카질,20110518,8.6686,
002490.SZ,*ST카질,20110519,8.4631,
002490.SZ,*ST카질,20110520,8.4631,
002490.SZ,*ST카질,20110523,7.9592,
002490.SZ,*ST카질,20110524,7.8565,
002490.SZ,*ST카질,20110525,7.7636,
002490.SZ,*ST카질,20110526,7.6608,
002490.SZ,*ST카질,20110527,7.4652,
002490.SZ,*ST카질,20110530,7.4554,
002490.SZ,*ST카질,20110531,7.6266,
002490.SZ,*ST카질,20110601,7.6755,
002490.SZ,*ST카질,20110602,7.5923,
002490.SZ,*ST카질,20110603,7.6902,
002490.SZ,*ST카질,20110607,7.7587,
002490.SZ,*ST카질,20110608,7.6608,
002490.SZ,*ST카질,20110609,7.4798,
002490.SZ,*ST카질,20110610,7.4211,
002490.SZ,*ST카질,20110613,7.4557,
002490.SZ,*ST카질,20110614,7.5891,
002490.SZ,*ST카질,20110615,7.4804,
002490.SZ,*ST카질,20110616,7.4705,
002490.SZ,*ST카질,20110617,7.4112,
002490.SZ,*ST카질,20110620,7.2433,
002490.SZ,*ST카질,20110621,7.3223,
002490.SZ,*ST카질,20110622,7.3174,
002490.SZ,*ST카질,20110623,7.5496,
002490.SZ,*ST카질,20110624,7.7373,
002490.SZ,*ST카질,20110627,7.7818,
002490.SZ,*ST카질,20110628,8.5625,
