旗鷹,酒各,晩豚,辺徒勺(圷),
002517.SZ,磊哂利大,20101207,5.8223,
002517.SZ,磊哂利大,20101208,6.0844,
002517.SZ,磊哂利大,20101209,5.8854,
002517.SZ,磊哂利大,20101210,6.0723,
002517.SZ,磊哂利大,20101213,6.48,
002517.SZ,磊哂利大,20101214,6.5892,
002517.SZ,磊哂利大,20101215,6.73,
002517.SZ,磊哂利大,20101216,6.7033,
002517.SZ,磊哂利大,20101217,6.9509,
002517.SZ,磊哂利大,20101220,7.0091,
002517.SZ,磊哂利大,20101221,7.0989,
002517.SZ,磊哂利大,20101222,7.3926,
002517.SZ,磊哂利大,20101223,7.8925,
002517.SZ,磊哂利大,20101224,7.4702,
002517.SZ,磊哂利大,20101227,6.7251,
002517.SZ,磊哂利大,20101228,6.6499,
002517.SZ,磊哂利大,20101229,6.5747,
002517.SZ,磊哂利大,20101230,6.4096,
002517.SZ,磊哂利大,20101231,6.4994,
002517.SZ,磊哂利大,20110104,6.8392,
002517.SZ,磊哂利大,20110105,6.8392,
002517.SZ,磊哂利大,20110106,6.5189,
002517.SZ,磊哂利大,20110107,6.4145,
002517.SZ,磊哂利大,20110110,6.4436,
002517.SZ,磊哂利大,20110111,6.1839,
002517.SZ,磊哂利大,20110112,6.3368,
002517.SZ,磊哂利大,20110113,6.4024,
002517.SZ,磊哂利大,20110114,6.1208,
002517.SZ,磊哂利大,20110117,5.6791,
002517.SZ,磊哂利大,20110118,5.6743,
002517.SZ,磊哂利大,20110119,5.7956,
002517.SZ,磊哂利大,20110120,5.6184,
002517.SZ,磊哂利大,20110121,5.6476,
002517.SZ,磊哂利大,20110124,5.6476,
002517.SZ,磊哂利大,20110125,5.6282,
002517.SZ,磊哂利大,20110126,5.667,
002517.SZ,磊哂利大,20110127,5.8369,
002517.SZ,磊哂利大,20110128,5.7665,
002517.SZ,磊哂利大,20110131,5.6937,
002517.SZ,磊哂利大,20110201,5.5578,
002517.SZ,磊哂利大,20110209,5.3248,
002517.SZ,磊哂利大,20110210,5.8247,
002517.SZ,磊哂利大,20110211,5.8077,
002517.SZ,磊哂利大,20110214,5.8077,
002517.SZ,磊哂利大,20110215,6.014,
002517.SZ,磊哂利大,20110216,6.3295,
002517.SZ,磊哂利大,20110217,6.5601,
002517.SZ,磊哂利大,20110218,6.3951,
002517.SZ,磊哂利大,20110221,6.5528,
002517.SZ,磊哂利大,20110222,6.6572,
002517.SZ,磊哂利大,20110223,6.7858,
002517.SZ,磊哂利大,20110224,7.1547,
002517.SZ,磊哂利大,20110225,6.9193,
002517.SZ,磊哂利大,20110228,6.9824,
002517.SZ,磊哂利大,20110301,7.1353,
002517.SZ,磊哂利大,20110302,6.5431,
002517.SZ,磊哂利大,20110303,6.1645,
002517.SZ,磊哂利大,20110304,6.2179,
002517.SZ,磊哂利大,20110307,6.2009,
