ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
002658.SZ,С©µПБъ,20120309,5.9468,
002658.SZ,С©µПБъ,20120312,5.9402,
002658.SZ,С©µПБъ,20120313,6.1723,
002658.SZ,С©µПБъ,20120314,5.6285,
002658.SZ,С©µПБъ,20120315,5.361,
002658.SZ,С©µПБъ,20120316,5.4759,
002658.SZ,С©µПБъ,20120319,5.4251,
002658.SZ,С©µПБъ,20120320,5.4649,
002658.SZ,С©µПБъ,20120321,5.0648,
002658.SZ,С©µПБъ,20120322,4.9962,
002658.SZ,С©µПБъ,20120323,5.0625,
002658.SZ,С©µПБъ,20120326,4.9719,
002658.SZ,С©µПБъ,20120327,4.8547,
002658.SZ,С©µПБъ,20120328,4.3684,
002658.SZ,С©µПБъ,20120329,4.3816,
002658.SZ,С©µПБъ,20120330,4.4214,
002658.SZ,С©µПБъ,20120405,4.5054,
002658.SZ,С©µПБъ,20120406,4.459,
002658.SZ,С©µПБъ,20120409,4.7066,
002658.SZ,С©µПБъ,20120410,4.7641,
002658.SZ,С©µПБъ,20120411,4.6867,
002658.SZ,С©µПБъ,20120412,4.6337,
002658.SZ,С©µПБъ,20120413,4.6071,
002658.SZ,С©µПБъ,20120416,4.6359,
002658.SZ,С©µПБъ,20120417,4.2733,
002658.SZ,С©µПБъ,20120418,4.364,
002658.SZ,С©µПБъ,20120419,4.4214,
002658.SZ,С©µПБъ,20120420,4.417,
002658.SZ,С©µПБъ,20120423,4.2335,
002658.SZ,С©µПБъ,20120424,4.1119,
002658.SZ,С©µПБъ,20120425,4.1208,
002658.SZ,С©µПБъ,20120426,4.2357,
002658.SZ,С©µПБъ,20120427,4.2092,
002658.SZ,С©µПБъ,20120502,4.3441,
002658.SZ,С©µПБъ,20120503,4.3573,
002658.SZ,С©µПБъ,20120504,4.4988,
002658.SZ,С©µПБъ,20120507,4.5541,
002658.SZ,С©µПБъ,20120508,4.5099,
002658.SZ,С©µПБъ,20120509,4.3485,
002658.SZ,С©µПБъ,20120510,4.3485,
002658.SZ,С©µПБъ,20120511,4.3617,
002658.SZ,С©µПБъ,20120514,4.3617,
002658.SZ,С©µПБъ,20120515,4.2313,
002658.SZ,С©µПБъ,20120516,4.207,
002658.SZ,С©µПБъ,20120517,4.2822,
002658.SZ,С©µПБъ,20120518,4.4657,
002658.SZ,С©µПБъ,20120521,4.4612,
002658.SZ,С©µПБъ,20120522,4.4546,
002658.SZ,С©µПБъ,20120523,4.574,
002658.SZ,С©µПБъ,20120524,4.5054,
002658.SZ,С©µПБъ,20120525,4.4966,
002658.SZ,С©µПБъ,20120528,4.4524,
002658.SZ,С©µПБъ,20120529,4.5806,
002658.SZ,С©µПБъ,20120530,4.7685,
002658.SZ,С©µПБъ,20120531,4.8393,
002658.SZ,С©µПБъ,20120601,4.7818,
002658.SZ,С©µПБъ,20120604,4.6956,
002658.SZ,С©µПБъ,20120605,4.8901,
002658.SZ,С©µПБъ,20120606,4.7,
002658.SZ,С©µПБъ,20120607,4.616,
002658.SZ,С©µПБъ,20120608,4.5895,
002658.SZ,С©µПБъ,20120611,4.8636,
002658.SZ,С©µПБъ,20120612,4.7088,
002658.SZ,С©µПБъ,20120613,5.0493,
002658.SZ,С©µПБъ,20120614,5.1488,
002658.SZ,С©µПБъ,20120615,5.0869,
002658.SZ,С©µПБъ,20120618,5.1045,
002658.SZ,С©µПБъ,20120619,4.952,
002658.SZ,С©µПБъ,20120620,5.0029,
002658.SZ,С©µПБъ,20120621,5.0979,
002658.SZ,С©µПБъ,20120625,4.9564,
002658.SZ,С©µПБъ,20120626,4.8371,
002658.SZ,С©µПБъ,20120627,4.8371,
002658.SZ,С©µПБъ,20120628,4.9233,
002658.SZ,С©µПБъ,20120629,5.1222,
002658.SZ,С©µПБъ,20120702,5.3057,
002658.SZ,С©µПБъ,20120703,5.2836,
002658.SZ,С©µПБъ,20120704,5.3124,
002658.SZ,С©µПБъ,20120705,5.1797,
002658.SZ,С©µПБъ,20120706,5.2814,
002658.SZ,С©µПБъ,20120709,5.1045,
002658.SZ,С©µПБъ,20120710,5.025,
002658.SZ,С©µПБъ,20120711,5.0935,
002658.SZ,С©µПБъ,20120712,5.414,
002658.SZ,С©µПБъ,20120713,5.3787,
002658.SZ,С©µПБъ,20120716,5.2814,
002658.SZ,С©µПБъ,20120717,5.372,
002658.SZ,С©µПБъ,20120718,5.4494,
002658.SZ,С©µПБъ,20120719,5.3897,
002658.SZ,С©µПБъ,20120720,5.3853,
002658.SZ,С©µПБъ,20120723,5.2969,
002658.SZ,С©µПБъ,20120724,5.3499,
002658.SZ,С©µПБъ,20120725,5.0847,
002658.SZ,С©µПБъ,20120726,4.7973,
002658.SZ,С©µПБъ,20120727,4.8503,
002658.SZ,С©µПБъ,20120730,4.5762,
002658.SZ,С©µПБъ,20120731,4.5585,
002658.SZ,С©µПБъ,20120801,4.6093,
002658.SZ,С©µПБъ,20120802,4.5806,
002658.SZ,С©µПБъ,20120803,4.7309,
002658.SZ,С©µПБъ,20120806,4.8326,
002658.SZ,С©µПБъ,20120807,4.8061,
002658.SZ,С©µПБъ,20120808,4.7508,
002658.SZ,С©µПБъ,20120809,4.8813,
002658.SZ,С©µПБъ,20120810,4.8658,
002658.SZ,С©µПБъ,20120813,4.7862,
002658.SZ,С©µПБъ,20120814,4.8636,
002658.SZ,С©µПБъ,20120815,4.6978,
002658.SZ,С©µПБъ,20120816,4.6005,
002658.SZ,С©µПБъ,20120817,4.543,
002658.SZ,С©µПБъ,20120820,4.5895,
002658.SZ,С©µПБъ,20120821,4.7442,
002658.SZ,С©µПБъ,20120822,4.7309,
002658.SZ,С©µПБъ,20120823,4.8039,
002658.SZ,С©µПБъ,20120824,4.6005,
002658.SZ,С©µПБъ,20120827,4.6425,
002658.SZ,С©µПБъ,20120828,4.7354,
002658.SZ,С©µПБъ,20120829,4.8194,
002658.SZ,С©µПБъ,20120830,4.6801,
002658.SZ,С©µПБъ,20120831,4.658,
002658.SZ,С©µПБъ,20120903,4.7641,
002658.SZ,С©µПБъ,20120904,4.6889,
002658.SZ,С©µПБъ,20120905,4.7928,
002658.SZ,С©µПБъ,20120906,4.8746,
002658.SZ,С©µПБъ,20120907,5.0736,
002658.SZ,С©µПБъ,20120910,5.1289,
002658.SZ,С©µПБъ,20120911,5.1178,
002658.SZ,С©µПБъ,20120912,5.0625,
002658.SZ,С©µПБъ,20120913,4.9741,
002658.SZ,С©µПБъ,20120914,5.1289,
002658.SZ,С©µПБъ,20120917,4.9277,
002658.SZ,С©µПБъ,20120918,4.8857,
002658.SZ,С©µПБъ,20120919,4.9653,
002658.SZ,С©µПБъ,20120920,4.753,
002658.SZ,С©µПБъ,20120921,4.6425,
002658.SZ,С©µПБъ,20120924,4.5872,
