╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
002842.SZ,оХПьныр╣,20170119,16.3977,
002842.SZ,оХПьныр╣,20170120,18.0335,
002842.SZ,оХПьныр╣,20170123,19.8388,
002842.SZ,оХПьныр╣,20170124,21.8237,
002842.SZ,оХПьныр╣,20170125,24.0081,
002842.SZ,оХПьныр╣,20170126,26.4119,
002842.SZ,оХПьныр╣,20170203,29.0551,
002842.SZ,оХПьныр╣,20170206,31.9576,
002842.SZ,оХПьныр╣,20170207,35.1493,
002842.SZ,оХПьныр╣,20170208,38.6603,
002842.SZ,оХПьныр╣,20170209,42.5303,
002842.SZ,оХПьныр╣,20170210,46.7794,
002842.SZ,оХПьныр╣,20170213,51.4573,
002842.SZ,оХПьныр╣,20170214,56.604,
002842.SZ,оХПьныр╣,20170215,58.7385,
002842.SZ,оХПьныр╣,20170216,57.7511,
002842.SZ,оХПьныр╣,20170217,51.976,
002842.SZ,оХПьныр╣,20170220,48.5348,
002842.SZ,оХПьныр╣,20170221,50.2404,
002842.SZ,оХПьныр╣,20170222,51.5969,
002842.SZ,оХПьныр╣,20170223,56.7536,
002842.SZ,оХПьныр╣,20170224,55.6565,
002842.SZ,оХПьныр╣,20170227,54.5892,
002842.SZ,оХПьныр╣,20170228,55.8659,
002842.SZ,оХПьныр╣,20170301,53.4821,
002842.SZ,оХПьныр╣,20170302,54.3598,
002842.SZ,оХПьныр╣,20170303,57.0928,
002842.SZ,оХПьныр╣,20170306,58.1002,
002842.SZ,оХПьныр╣,20170307,57.5915,
002842.SZ,оХПьныр╣,20170308,60.3444,
002842.SZ,оХПьныр╣,20170309,56.8534,
002842.SZ,оХПьныр╣,20170310,55.8559,
002842.SZ,оХПьныр╣,20170313,56.5641,
002842.SZ,оХПьныр╣,20170314,57.9505,
002842.SZ,оХПьныр╣,20170315,58.7385,
002842.SZ,оХПьныр╣,20170316,62.2195,
002842.SZ,оХПьныр╣,20170317,62.6883,
002842.SZ,оХПьныр╣,20170320,63.4763,
002842.SZ,оХПьныр╣,20170321,64.1446,
002842.SZ,оХПьныр╣,20170322,64.4239,
002842.SZ,оХПьныр╣,20170323,61.0426,
002842.SZ,оХПьныр╣,20170324,61.8006,
002842.SZ,оХПьныр╣,20170327,63.1372,
002842.SZ,оХПьныр╣,20170328,59.8257,
002842.SZ,оХПьныр╣,20170329,54.4595,
002842.SZ,оХПьныр╣,20170330,55.1179,
002842.SZ,оХПьныр╣,20170331,51.4872,
002842.SZ,оХПьныр╣,20170405,52.0458,
002842.SZ,оХПьныр╣,20170406,52.0657,
002842.SZ,оХПьныр╣,20170407,50.8389,
002842.SZ,оХПьныр╣,20170410,45.752,
002842.SZ,оХПьныр╣,20170411,46.6896,
002842.SZ,оХПьныр╣,20170412,45.2533,
002842.SZ,оХПьныр╣,20170413,45.0339,
002842.SZ,оХПьныр╣,20170414,44.5252,
002842.SZ,оХПьныр╣,20170417,40.0966,
002842.SZ,оХПьныр╣,20170418,39.4981,
002842.SZ,оХПьныр╣,20170419,40.8945,
002842.SZ,оХПьныр╣,20170420,40.2562,
002842.SZ,оХПьныр╣,20170421,39.8971,
002842.SZ,оХПьныр╣,20170424,38.76,
002842.SZ,оХПьныр╣,20170425,39.6976,
002842.SZ,оХПьныр╣,20170426,40.8347,
002842.SZ,оХПьныр╣,20170427,42.1513,
002842.SZ,оХПьныр╣,20170428,42.0416,
002842.SZ,оХПьныр╣,20170502,41.2536,
002842.SZ,оХПьныр╣,20170503,42.8694,
002842.SZ,оХПьныр╣,20170504,41.6925,
002842.SZ,оХПьныр╣,20170505,40.0168,
002842.SZ,оХПьныр╣,20170508,39.0992,
002842.SZ,оХПьныр╣,20170509,40.4158,
002842.SZ,оХПьныр╣,20170510,39.3385,
002842.SZ,оХПьныр╣,20170511,40.316,
002842.SZ,оХПьныр╣,20170512,41.8321,
002842.SZ,оХПьныр╣,20170515,41.1938,
002842.SZ,оХПьныр╣,20170516,43.2684,
002842.SZ,оХПьныр╣,20170517,42.6799,
002842.SZ,оХПьныр╣,20170518,42.1114,
002842.SZ,оХПьныр╣,20170519,42.1114,
002842.SZ,оХПьныр╣,20170522,38.7002,
002842.SZ,оХПьныр╣,20170523,35.299,
002842.SZ,оХПьныр╣,20170524,35.3189,
002842.SZ,оХПьныр╣,20170525,35.3189,
002842.SZ,оХПьныр╣,20170526,35.668,
002842.SZ,оХПьныр╣,20170531,35.2591,
002842.SZ,оХПьныр╣,20170601,32.7655,
002842.SZ,оХПьныр╣,20170602,33.9125,
002842.SZ,оХПьныр╣,20170605,34.3115,
002842.SZ,оХПьныр╣,20170606,34.5509,
002842.SZ,оХПьныр╣,20170607,35.9273,
002842.SZ,оХПьныр╣,20170608,36.855,
002842.SZ,оХПьныр╣,20170609,38.2513,
002842.SZ,оХПьныр╣,20170612,35.7478,
002842.SZ,оХПьныр╣,20170613,39.3186,
002842.SZ,оХПьныр╣,20170614,39.4084,
002842.SZ,оХПьныр╣,20170615,39.957,
002842.SZ,оХПьныр╣,20170616,40.5055,
002842.SZ,оХПьныр╣,20170619,39.7475,
002842.SZ,оХПьныр╣,20170620,39.2388,
002842.SZ,оХПьныр╣,20170621,38.77,
002842.SZ,оХПьныр╣,20170622,37.94,
002842.SZ,оХПьныр╣,20170623,39.89,
002842.SZ,оХПьныр╣,20170626,41.61,
002842.SZ,оХПьныр╣,20170627,41.13,
002842.SZ,оХПьныр╣,20170628,40.45,
002842.SZ,оХПьныр╣,20170629,39.93,
002842.SZ,оХПьныр╣,20170630,40.9,
002842.SZ,оХПьныр╣,20170703,41.21,
002842.SZ,оХПьныр╣,20170704,40.87,
002842.SZ,оХПьныр╣,20170705,42.92,
002842.SZ,оХПьныр╣,20170706,45.62,
002842.SZ,оХПьныр╣,20170707,50.18,
002842.SZ,оХПьныр╣,20170710,50.77,
002842.SZ,оХПьныр╣,20170711,45.91,
002842.SZ,оХПьныр╣,20170712,46.92,
002842.SZ,оХПьныр╣,20170713,46.92,
002842.SZ,оХПьныр╣,20170714,45.75,
002842.SZ,оХПьныр╣,20170717,41.98,
002842.SZ,оХПьныр╣,20170718,43.91,
002842.SZ,оХПьныр╣,20170719,47.01,
002842.SZ,оХПьныр╣,20170720,47.46,
002842.SZ,оХПьныр╣,20170721,45.68,
002842.SZ,оХПьныр╣,20170724,45.15,
002842.SZ,оХПьныр╣,20170725,47.2,
002842.SZ,оХПьныр╣,20170726,46.7,
002842.SZ,оХПьныр╣,20170727,45.46,
002842.SZ,оХПьныр╣,20170728,46.73,
002842.SZ,оХПьныр╣,20170731,48.51,
002842.SZ,оХПьныр╣,20170801,47,
002842.SZ,оХПьныр╣,20170802,46.84,
002842.SZ,оХПьныр╣,20170803,45.44,
002842.SZ,оХПьныр╣,20170804,45.4,
002842.SZ,оХПьныр╣,20170807,46.04,
002842.SZ,оХПьныр╣,20170808,45.8,
002842.SZ,оХПьныр╣,20170809,45.7,
002842.SZ,оХПьныр╣,20170810,43.57,
002842.SZ,оХПьныр╣,20170811,40.44,
002842.SZ,оХПьныр╣,20170814,41.57,
002842.SZ,оХПьныр╣,20170815,41.15,
002842.SZ,оХПьныр╣,20170816,41.82,
002842.SZ,оХПьныр╣,20170817,41.77,
