ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
002902.SZ,ร๚ฦีนโดล,20170929,20.35,
002902.SZ,ร๚ฦีนโดล,20171009,22.39,
002902.SZ,ร๚ฦีนโดล,20171010,24.63,
002902.SZ,ร๚ฦีนโดล,20171011,27.09,
002902.SZ,ร๚ฦีนโดล,20171012,29.8,
002902.SZ,ร๚ฦีนโดล,20171013,32.78,
002902.SZ,ร๚ฦีนโดล,20171016,36.06,
002902.SZ,ร๚ฦีนโดล,20171017,39.67,
002902.SZ,ร๚ฦีนโดล,20171018,43.64,
002902.SZ,ร๚ฦีนโดล,20171019,48,
002902.SZ,ร๚ฦีนโดล,20171020,48,
002902.SZ,ร๚ฦีนโดล,20171023,48,
002902.SZ,ร๚ฦีนโดล,20171024,52.8,
002902.SZ,ร๚ฦีนโดล,20171025,58,
002902.SZ,ร๚ฦีนโดล,20171026,52.2,
002902.SZ,ร๚ฦีนโดล,20171027,51.34,
002902.SZ,ร๚ฦีนโดล,20171030,46.21,
002902.SZ,ร๚ฦีนโดล,20171031,45.58,
002902.SZ,ร๚ฦีนโดล,20171101,46.58,
002902.SZ,ร๚ฦีนโดล,20171102,47.6,
002902.SZ,ร๚ฦีนโดล,20171103,46.7,
002902.SZ,ร๚ฦีนโดล,20171106,47.69,
002902.SZ,ร๚ฦีนโดล,20171107,49.34,
002902.SZ,ร๚ฦีนโดล,20171108,54.27,
002902.SZ,ร๚ฦีนโดล,20171109,55.1,
002902.SZ,ร๚ฦีนโดล,20171110,58.8,
002902.SZ,ร๚ฦีนโดล,20171113,58.48,
002902.SZ,ร๚ฦีนโดล,20171114,56.34,
002902.SZ,ร๚ฦีนโดล,20171115,56.13,
002902.SZ,ร๚ฦีนโดล,20171116,50.52,
002902.SZ,ร๚ฦีนโดล,20171117,45.47,
002902.SZ,ร๚ฦีนโดล,20171120,45.46,
002902.SZ,ร๚ฦีนโดล,20171121,47.6,
002902.SZ,ร๚ฦีนโดล,20171122,45.91,
002902.SZ,ร๚ฦีนโดล,20171123,44.71,
002902.SZ,ร๚ฦีนโดล,20171124,40.32,
002902.SZ,ร๚ฦีนโดล,20171127,37.45,
002902.SZ,ร๚ฦีนโดล,20171128,38.58,
002902.SZ,ร๚ฦีนโดล,20171129,37.41,
002902.SZ,ร๚ฦีนโดล,20171130,37.99,
002902.SZ,ร๚ฦีนโดล,20171201,38.88,
002902.SZ,ร๚ฦีนโดล,20171204,35,
002902.SZ,ร๚ฦีนโดล,20171205,35,
002902.SZ,ร๚ฦีนโดล,20171206,36.95,
002902.SZ,ร๚ฦีนโดล,20171207,37.66,
002902.SZ,ร๚ฦีนโดล,20171208,38.73,
002902.SZ,ร๚ฦีนโดล,20171211,38.57,
002902.SZ,ร๚ฦีนโดล,20171212,36.53,
002902.SZ,ร๚ฦีนโดล,20171213,39,
002902.SZ,ร๚ฦีนโดล,20171214,39.8,
002902.SZ,ร๚ฦีนโดล,20171215,38.94,
