ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
300201.SZ,КЃТзем,20110407,2.158,
300201.SZ,КЃТзем,20110408,2.1741,
300201.SZ,КЃТзем,20110411,2.0616,
300201.SZ,КЃТзем,20110412,2.0871,
300201.SZ,КЃТзем,20110413,2.0862,
300201.SZ,КЃТзем,20110414,2.0313,
300201.SZ,КЃТзем,20110415,2.0427,
300201.SZ,КЃТзем,20110418,2.0748,
300201.SZ,КЃТзем,20110419,2.0096,
300201.SZ,КЃТзем,20110420,2.0086,
300201.SZ,КЃТзем,20110421,2.0105,
300201.SZ,КЃТзем,20110422,1.8839,
300201.SZ,КЃТзем,20110425,1.8546,
300201.SZ,КЃТзем,20110426,1.8064,
300201.SZ,КЃТзем,20110427,1.796,
300201.SZ,КЃТзем,20110428,1.7185,
300201.SZ,КЃТзем,20110429,1.7411,
300201.SZ,КЃТзем,20110503,1.7515,
300201.SZ,КЃТзем,20110504,1.7128,
300201.SZ,КЃТзем,20110505,1.7166,
300201.SZ,КЃТзем,20110506,1.7081,
300201.SZ,КЃТзем,20110509,1.7411,
300201.SZ,КЃТзем,20110510,1.7411,
300201.SZ,КЃТзем,20110511,1.7298,
300201.SZ,КЃТзем,20110512,1.7052,
300201.SZ,КЃТзем,20110513,1.7374,
300201.SZ,КЃТзем,20110516,1.7771,
300201.SZ,КЃТзем,20110517,1.7723,
300201.SZ,КЃТзем,20110518,1.7771,
300201.SZ,КЃТзем,20110519,1.7487,
300201.SZ,КЃТзем,20110520,1.7232,
300201.SZ,КЃТзем,20110523,1.6684,
300201.SZ,КЃТзем,20110524,1.6891,
300201.SZ,КЃТзем,20110525,1.6646,
300201.SZ,КЃТзем,20110526,1.6438,
300201.SZ,КЃТзем,20110527,1.6126,
300201.SZ,КЃТзем,20110530,1.6135,
300201.SZ,КЃТзем,20110531,1.6277,
300201.SZ,КЃТзем,20110601,1.6343,
300201.SZ,КЃТзем,20110602,1.6031,
300201.SZ,КЃТзем,20110603,1.6542,
300201.SZ,КЃТзем,20110607,1.6674,
300201.SZ,КЃТзем,20110608,1.6627,
300201.SZ,КЃТзем,20110609,1.6428,
300201.SZ,КЃТзем,20110610,1.6334,
300201.SZ,КЃТзем,20110613,1.6258,
300201.SZ,КЃТзем,20110614,1.6438,
300201.SZ,КЃТзем,20110615,1.6173,
300201.SZ,КЃТзем,20110616,1.605,
300201.SZ,КЃТзем,20110617,1.5956,
300201.SZ,КЃТзем,20110620,1.57,
300201.SZ,КЃТзем,20110621,1.6012,
300201.SZ,КЃТзем,20110622,1.5748,
300201.SZ,КЃТзем,20110623,1.6154,
300201.SZ,КЃТзем,20110624,1.6391,
300201.SZ,КЃТзем,20110627,1.6419,
300201.SZ,КЃТзем,20110628,1.6353,
300201.SZ,КЃТзем,20110629,1.6277,
300201.SZ,КЃТзем,20110630,1.6655,
300201.SZ,КЃТзем,20110701,1.6882,
300201.SZ,КЃТзем,20110704,1.7005,
300201.SZ,КЃТзем,20110705,1.709,
300201.SZ,КЃТзем,20110706,1.7147,
300201.SZ,КЃТзем,20110707,1.7336,
300201.SZ,КЃТзем,20110708,1.7024,
300201.SZ,КЃТзем,20110711,1.7156,
300201.SZ,КЃТзем,20110712,1.7014,
300201.SZ,КЃТзем,20110713,1.7118,
300201.SZ,КЃТзем,20110714,1.7288,
300201.SZ,КЃТзем,20110715,1.7525,
300201.SZ,КЃТзем,20110718,1.7364,
300201.SZ,КЃТзем,20110719,1.6995,
300201.SZ,КЃТзем,20110720,1.7024,
300201.SZ,КЃТзем,20110721,1.6731,
300201.SZ,КЃТзем,20110722,1.7279,
300201.SZ,КЃТзем,20110725,1.7043,
300201.SZ,КЃТзем,20110726,1.691,
300201.SZ,КЃТзем,20110727,1.761,
300201.SZ,КЃТзем,20110728,1.8262,
300201.SZ,КЃТзем,20110729,1.795,
300201.SZ,КЃТзем,20110801,1.8101,
300201.SZ,КЃТзем,20110802,1.8139,
300201.SZ,КЃТзем,20110803,1.8234,
300201.SZ,КЃТзем,20110804,1.8035,
300201.SZ,КЃТзем,20110805,1.7771,
300201.SZ,КЃТзем,20110808,1.7109,
300201.SZ,КЃТзем,20110809,1.7241,
300201.SZ,КЃТзем,20110810,1.7582,
300201.SZ,КЃТзем,20110811,1.7761,
300201.SZ,КЃТзем,20110812,1.7988,
300201.SZ,КЃТзем,20110815,1.8328,
300201.SZ,КЃТзем,20110816,1.829,
300201.SZ,КЃТзем,20110817,1.8952,
300201.SZ,КЃТзем,20110818,1.9434,
300201.SZ,КЃТзем,20110819,1.916,
300201.SZ,КЃТзем,20110822,1.8716,
300201.SZ,КЃТзем,20110823,1.933,
300201.SZ,КЃТзем,20110824,1.899,
300201.SZ,КЃТзем,20110825,1.8669,
300201.SZ,КЃТзем,20110826,1.8848,
300201.SZ,КЃТзем,20110829,1.898,
300201.SZ,КЃТзем,20110830,1.8376,
300201.SZ,КЃТзем,20110831,1.7931,
300201.SZ,КЃТзем,20110901,1.7695,
300201.SZ,КЃТзем,20110902,1.7875,
300201.SZ,КЃТзем,20110905,1.7752,
300201.SZ,КЃТзем,20110906,1.8111,
300201.SZ,КЃТзем,20110907,1.8338,
300201.SZ,КЃТзем,20110908,1.7837,
300201.SZ,КЃТзем,20110909,1.7648,
300201.SZ,КЃТзем,20110913,1.7355,
300201.SZ,КЃТзем,20110914,1.7534,
300201.SZ,КЃТзем,20110915,1.7667,
300201.SZ,КЃТзем,20110916,1.7771,
300201.SZ,КЃТзем,20110919,1.7997,
300201.SZ,КЃТзем,20110920,1.8064,
300201.SZ,КЃТзем,20110921,1.829,
300201.SZ,КЃТзем,20110922,1.7704,
300201.SZ,КЃТзем,20110923,1.7383,
300201.SZ,КЃТзем,20110926,1.7109,
300201.SZ,КЃТзем,20110927,1.7137,
300201.SZ,КЃТзем,20110928,1.7185,
300201.SZ,КЃТзем,20110929,1.6731,
300201.SZ,КЃТзем,20110930,1.674,
300201.SZ,КЃТзем,20111010,1.675,
300201.SZ,КЃТзем,20111011,1.6655,
300201.SZ,КЃТзем,20111012,1.7128,
300201.SZ,КЃТзем,20111013,1.7251,
300201.SZ,КЃТзем,20111014,1.7137,
300201.SZ,КЃТзем,20111017,1.7005,
300201.SZ,КЃТзем,20111018,1.6542,
300201.SZ,КЃТзем,20111019,1.6447,
300201.SZ,КЃТзем,20111020,1.589,
300201.SZ,КЃТзем,20111021,1.5653,
300201.SZ,КЃТзем,20111024,1.553,
300201.SZ,КЃТзем,20111025,1.6097,
300201.SZ,КЃТзем,20111026,1.623,
300201.SZ,КЃТзем,20111027,1.623,
300201.SZ,КЃТзем,20111028,1.6381,
300201.SZ,КЃТзем,20111031,1.6589,
300201.SZ,КЃТзем,20111101,1.6589,
300201.SZ,КЃТзем,20111102,1.6731,
300201.SZ,КЃТзем,20111103,1.6693,
300201.SZ,КЃТзем,20111104,1.6759,
300201.SZ,КЃТзем,20111107,1.6759,
300201.SZ,КЃТзем,20111108,1.6655,
300201.SZ,КЃТзем,20111109,1.6967,
300201.SZ,КЃТзем,20111110,1.6986,
300201.SZ,КЃТзем,20111111,1.691,
300201.SZ,КЃТзем,20111114,1.7411,
300201.SZ,КЃТзем,20111115,1.761,
300201.SZ,КЃТзем,20111116,1.7014,
300201.SZ,КЃТзем,20111117,1.7194,
300201.SZ,КЃТзем,20111118,1.6702,
300201.SZ,КЃТзем,20111121,1.6589,
300201.SZ,КЃТзем,20111122,1.6684,
300201.SZ,КЃТзем,20111123,1.6589,
300201.SZ,КЃТзем,20111124,1.6513,
300201.SZ,КЃТзем,20111125,1.64,
300201.SZ,КЃТзем,20111128,1.6353,
300201.SZ,КЃТзем,20111129,1.6825,
300201.SZ,КЃТзем,20111130,1.6145,
300201.SZ,КЃТзем,20111201,1.6145,
300201.SZ,КЃТзем,20111202,1.5804,
300201.SZ,КЃТзем,20111205,1.5738,
300201.SZ,КЃТзем,20111206,1.5776,
300201.SZ,КЃТзем,20111207,1.5927,
300201.SZ,КЃТзем,20111208,1.5975,
300201.SZ,КЃТзем,20111209,1.5814,
300201.SZ,КЃТзем,20111212,1.5871,
300201.SZ,КЃТзем,20111213,1.5786,
300201.SZ,КЃТзем,20111214,1.5634,
300201.SZ,КЃТзем,20111215,1.4963,
300201.SZ,КЃТзем,20111216,1.4888,
300201.SZ,КЃТзем,20111219,1.4935,
300201.SZ,КЃТзем,20111220,1.4859,
300201.SZ,КЃТзем,20111221,1.4557,
300201.SZ,КЃТзем,20111222,1.4528,
300201.SZ,КЃТзем,20111223,1.4642,
300201.SZ,КЃТзем,20111226,1.4727,
300201.SZ,КЃТзем,20111227,1.4387,
300201.SZ,КЃТзем,20111228,1.4216,
