����,���,����,���̼�(Ԫ),
300377.SZ,Ӯʱʤ,20140127,3.0466,
300377.SZ,Ӯʱʤ,20140128,3.3515,
300377.SZ,Ӯʱʤ,20140129,3.622,
300377.SZ,Ӯʱʤ,20140130,3.6524,
300377.SZ,Ӯʱʤ,20140207,3.7543,
300377.SZ,Ӯʱʤ,20140210,4.0739,
300377.SZ,Ӯʱʤ,20140211,4.0327,
300377.SZ,Ӯʱʤ,20140212,4.3307,
300377.SZ,Ӯʱʤ,20140213,3.9994,
300377.SZ,Ӯʱʤ,20140214,4.2376,
300377.SZ,Ӯʱʤ,20140217,4.3709,
300377.SZ,Ӯʱʤ,20140218,4.2739,
300377.SZ,Ӯʱʤ,20140219,4.1249,
300377.SZ,Ӯʱʤ,20140220,4.0876,
300377.SZ,Ӯʱʤ,20140221,4.1611,
300377.SZ,Ӯʱʤ,20140224,4.2396,
300377.SZ,Ӯʱʤ,20140225,4.3934,
300377.SZ,Ӯʱʤ,20140226,4.1837,
300377.SZ,Ӯʱʤ,20140227,3.7651,
300377.SZ,Ӯʱʤ,20140228,3.8857,
300377.SZ,Ӯʱʤ,20140303,4.2415,
300377.SZ,Ӯʱʤ,20140304,4.1425,
300377.SZ,Ӯʱʤ,20140305,4.1513,
300377.SZ,Ӯʱʤ,20140306,4.567,
300377.SZ,Ӯʱʤ,20140307,4.3621,
300377.SZ,Ӯʱʤ,20140310,4.0827,
300377.SZ,Ӯʱʤ,20140311,4.4072,
300377.SZ,Ӯʱʤ,20140312,4.8483,
300377.SZ,Ӯʱʤ,20140313,4.6307,
300377.SZ,Ӯʱʤ,20140314,4.6797,
300377.SZ,Ӯʱʤ,20140317,4.5973,
300377.SZ,Ӯʱʤ,20140318,4.7277,
300377.SZ,Ӯʱʤ,20140319,4.713,
300377.SZ,Ӯʱʤ,20140320,4.3729,
300377.SZ,Ӯʱʤ,20140321,4.3748,
300377.SZ,Ӯʱʤ,20140324,4.0327,
300377.SZ,Ӯʱʤ,20140325,4.117,
300377.SZ,Ӯʱʤ,20140326,4.0288,
300377.SZ,Ӯʱʤ,20140327,3.7798,
300377.SZ,Ӯʱʤ,20140328,3.8131,
300377.SZ,Ӯʱʤ,20140331,3.7112,
300377.SZ,Ӯʱʤ,20140401,3.822,
300377.SZ,Ӯʱʤ,20140402,3.7906,
300377.SZ,Ӯʱʤ,20140403,3.8122,
300377.SZ,Ӯʱʤ,20140404,4.0102,
300377.SZ,Ӯʱʤ,20140408,4.0562,
300377.SZ,Ӯʱʤ,20140409,4.0092,
300377.SZ,Ӯʱʤ,20140410,3.9072,
300377.SZ,Ӯʱʤ,20140411,3.7416,
300377.SZ,Ӯʱʤ,20140414,3.6789,
300377.SZ,Ӯʱʤ,20140415,3.6857,
300377.SZ,Ӯʱʤ,20140416,3.5779,
300377.SZ,Ӯʱʤ,20140417,3.6132,
300377.SZ,Ӯʱʤ,20140418,3.6514,
300377.SZ,Ӯʱʤ,20140421,3.671,
300377.SZ,Ӯʱʤ,20140422,3.6112,
300377.SZ,Ӯʱʤ,20140423,3.573,
300377.SZ,Ӯʱʤ,20140424,3.4534,
300377.SZ,Ӯʱʤ,20140425,3.1721,
300377.SZ,Ӯʱʤ,20140428,3.0907,
300377.SZ,Ӯʱʤ,20140429,3.1593,
300377.SZ,Ӯʱʤ,20140430,3.1544,
300377.SZ,Ӯʱʤ,20140505,3.224,
300377.SZ,Ӯʱʤ,20140506,3.3858,
300377.SZ,Ӯʱʤ,20140507,3.3848,
300377.SZ,Ӯʱʤ,20140508,3.2887,
300377.SZ,Ӯʱʤ,20140509,3.1701,
300377.SZ,Ӯʱʤ,20140512,3.2701,
300377.SZ,Ӯʱʤ,20140513,3.2966,
300377.SZ,Ӯʱʤ,20140514,3.3426,
300377.SZ,Ӯʱʤ,20140515,3.3279,
300377.SZ,Ӯʱʤ,20140516,3.2338,
300377.SZ,Ӯʱʤ,20140519,3.225,
