測鎢,潠備,�梪�,彶攫歎(啋),
300413.SZ,辦氈劃,20150121,12.9498,
300413.SZ,辦氈劃,20150122,14.2497,
300413.SZ,辦氈劃,20150123,15.6787,
300413.SZ,辦氈劃,20150126,17.2465,
300413.SZ,辦氈劃,20150127,18.9732,
300413.SZ,辦氈劃,20150128,20.8685,
300413.SZ,辦氈劃,20150129,22.9524,
300413.SZ,辦氈劃,20150130,25.2447,
300413.SZ,辦氈劃,20150202,27.7652,
300413.SZ,辦氈劃,20150203,30.5437,
300413.SZ,辦氈劃,20150204,33.6,
300413.SZ,辦氈劃,20150205,36.964,
300413.SZ,辦氈劃,20150206,34.7809,
300413.SZ,辦氈劃,20150209,31.3574,
300413.SZ,辦氈劃,20150210,31.9924,
300413.SZ,辦氈劃,20150211,34.1359,
300413.SZ,辦氈劃,20150212,33.7389,
300413.SZ,辦氈劃,20150213,34.9992,
300413.SZ,辦氈劃,20150216,38.5021,
300413.SZ,辦氈劃,20150217,37.0136,
300413.SZ,辦氈劃,20150225,33.3122,
300413.SZ,辦氈劃,20150226,33.0443,
300413.SZ,辦氈劃,20150227,33.2924,
300413.SZ,辦氈劃,20150302,33.7985,
300413.SZ,辦氈劃,20150303,32.6474,
300413.SZ,辦氈劃,20150304,33.7885,
300413.SZ,辦氈劃,20150305,33.5603,
300413.SZ,辦氈劃,20150306,31.7047,
300413.SZ,辦氈劃,20150309,31.8535,
300413.SZ,辦氈劃,20150310,32.7466,
300413.SZ,辦氈劃,20150311,34.1359,
300413.SZ,辦氈劃,20150312,33.1932,
300413.SZ,辦氈劃,20150313,35.6938,
300413.SZ,辦氈劃,20150316,36.577,
300413.SZ,辦氈劃,20150317,36.6067,
300413.SZ,辦氈劃,20150318,37.5395,
300413.SZ,辦氈劃,20150319,36.8548,
300413.SZ,辦氈劃,20150320,36.6167,
300413.SZ,辦氈劃,20150323,37.9067,
300413.SZ,辦氈劃,20150324,41.6973,
300413.SZ,辦氈劃,20150325,41.9256,
300413.SZ,辦氈劃,20150326,37.738,
300413.SZ,辦氈劃,20150327,37.8074,
300413.SZ,辦氈劃,20150330,37.0136,
300413.SZ,辦氈劃,20150331,36.7754,
300413.SZ,辦氈劃,20150401,37.5097,
300413.SZ,辦氈劃,20150402,38.512,
300413.SZ,辦氈劃,20150403,39.3753,
300413.SZ,辦氈劃,20150407,40.4669,
300413.SZ,辦氈劃,20150408,39.8913,
300413.SZ,辦氈劃,20150409,40.5363,
300413.SZ,辦氈劃,20150410,40.6852,
300413.SZ,辦氈劃,20150413,44.7537,
300413.SZ,辦氈劃,20150414,43.1461,
300413.SZ,辦氈劃,20150415,39.6929,
300413.SZ,辦氈劃,20150416,39.4944,
300413.SZ,辦氈劃,20150417,38.7799,
300413.SZ,辦氈劃,20150420,37.5494,
300413.SZ,辦氈劃,20150421,39.7127,
300413.SZ,辦氈劃,20150422,40.189,
300413.SZ,辦氈劃,20150423,41.7966,
300413.SZ,辦氈劃,20150424,41.1317,
300413.SZ,辦氈劃,20150427,41.8958,
300413.SZ,辦氈劃,20150428,38.6013,
300413.SZ,辦氈劃,20150429,40.3875,
300413.SZ,辦氈劃,20150430,42.0744,
300413.SZ,辦氈劃,20150504,42.8881,
300413.SZ,辦氈劃,20150505,47.175,
300413.SZ,辦氈劃,20150506,44.8529,
300413.SZ,辦氈劃,20150507,49.3382,
300413.SZ,辦氈劃,20150508,54.2701,
300413.SZ,辦氈劃,20150511,59.6981,
300413.SZ,辦氈劃,20150512,65.6718,
300413.SZ,辦氈劃,20150513,66.0588,
300413.SZ,辦氈劃,20150514,61.8712,
300413.SZ,辦氈劃,20150515,68.0633,
300413.SZ,辦氈劃,20150518,74.8707,
300413.SZ,辦氈劃,20150519,77.0835,
300413.SZ,辦氈劃,20150520,82.1642,
300413.SZ,辦氈劃,20150521,80.5269,
300413.SZ,辦氈劃,20150522,78.7407,
300413.SZ,辦氈劃,20150525,74.1066,
300413.SZ,辦氈劃,20150526,81.5192,
300413.SZ,辦氈劃,20150527,89.6761,
300413.SZ,辦氈劃,20150528,87.1258,
300413.SZ,辦氈劃,20150529,87.1258,
300413.SZ,辦氈劃,20150601,89.1502,
300413.SZ,辦氈劃,20150602,92.2859,
300413.SZ,辦氈劃,20150603,97.3269,
300413.SZ,辦氈劃,20150604,89.8051,
300413.SZ,辦氈劃,20150605,80.8246,
300413.SZ,辦氈劃,20150608,73.4417,
300413.SZ,辦氈劃,20150609,75.4859,
300413.SZ,辦氈劃,20150610,77.8079,
300413.SZ,辦氈劃,20150611,77.2026,
300413.SZ,辦氈劃,20150612,75.8729,
300413.SZ,辦氈劃,20150615,68.2816,
