´תÂכ,¼ע³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ô×),
300460.SZ,»ÝÂ×¾§Ìו,20150515,9.2097,
300460.SZ,»ÝÂ×¾§Ìו,20150518,10.1347,
300460.SZ,»ÝÂ×¾§Ìו,20150519,11.1491,
300460.SZ,»ÝÂ×¾§Ìו,20150520,12.2631,
300460.SZ,»ÝÂ×¾§Ìו,20150521,13.4864,
300460.SZ,»ÝÂ×¾§Ìו,20150522,14.839,
300460.SZ,»ÝÂ×¾§Ìו,20150525,16.3209,
300460.SZ,»ÝÂ×¾§Ìו,20150526,17.952,
300460.SZ,»ÝÂ×¾§Ìו,20150527,19.7522,
300460.SZ,»ÝÂ×¾§Ìו,20150528,21.7314,
300460.SZ,»ÝÂ×¾§Ìו,20150529,23.9095,
300460.SZ,»ÝÂ×¾§Ìו,20150601,26.2964,
300460.SZ,»ÝÂ×¾§Ìו,20150602,28.9221,
300460.SZ,»ÝÂ×¾§Ìו,20150603,31.8163,
300460.SZ,»ÝÂ×¾§Ìו,20150604,34.9989,
300460.SZ,»ÝÂ×¾§Ìו,20150605,38.4998,
300460.SZ,»ÝÂ×¾§Ìו,20150608,42.3488,
300460.SZ,»ÝÂ×¾§Ìו,20150609,46.5658,
300460.SZ,»ÝÂ×¾§Ìו,20150610,51.2204,
300460.SZ,»ÝÂ×¾§Ìו,20150611,56.3424,
300460.SZ,»ÝÂ×¾§Ìו,20150612,61.9816,
300460.SZ,»ÝÂ×¾§Ìו,20150615,55.7855,
300460.SZ,»ÝÂ×¾§Ìו,20150616,50.2059,
300460.SZ,»ÝÂ×¾§Ìו,20150617,45.8298,
300460.SZ,»ÝÂ×¾§Ìו,20150618,41.2448,
300460.SZ,»ÝÂ×¾§Ìו,20150619,37.1174,
300460.SZ,»ÝÂ×¾§Ìו,20150623,39.6734,
300460.SZ,»ÝÂ×¾§Ìו,20150624,38.1617,
300460.SZ,»ÝÂ×¾§Ìו,20150625,34.3525,
300460.SZ,»ÝÂ×¾§Ìו,20150626,30.9212,
300460.SZ,»ÝÂ×¾§Ìו,20150629,27.8281,
300460.SZ,»ÝÂ×¾§Ìו,20150630,30.6129,
300460.SZ,»ÝÂ×¾§Ìו,20150701,30.7024,
300460.SZ,»ÝÂ×¾§Ìו,20150702,29.2702,
300460.SZ,»ÝÂ×¾§Ìו,20150703,29.6879,
300460.SZ,»ÝÂ×¾§Ìו,20150706,29.7377,
300460.SZ,»ÝÂ×¾§Ìו,20150707,26.7639,
300460.SZ,»ÝÂ×¾§Ìו,20150708,24.0885,
300460.SZ,»ÝÂ×¾§Ìו,20150709,26.4954,
300460.SZ,»ÝÂ×¾§Ìו,20150710,29.1409,
300460.SZ,»ÝÂ×¾§Ìו,20150713,32.055,
300460.SZ,»ÝÂ×¾§Ìו,20150714,33.0098,
300460.SZ,»ÝÂ×¾§Ìו,20150715,29.7078,
300460.SZ,»ÝÂ×¾§Ìו,20150716,27.5993,
300460.SZ,»ÝÂ×¾§Ìו,20150717,29.1509,
300460.SZ,»ÝÂ×¾§Ìו,20150720,28.9221,
300460.SZ,»ÝÂ×¾§Ìו,20150721,30.5134,
300460.SZ,»ÝÂ×¾§Ìו,20150722,30.6129,
300460.SZ,»ÝÂ×¾§Ìו,20150723,33.6762,
300460.SZ,»ÝÂ×¾§Ìו,20150724,33.6762,
300460.SZ,»ÝÂ×¾§Ìו,20150727,30.3046,
300460.SZ,»ÝÂ×¾§Ìו,20150728,28.1364,
300460.SZ,»ÝÂ×¾§Ìו,20150729,30.951,
300460.SZ,»ÝÂ×¾§Ìו,20150730,31.5279,
300460.SZ,»ÝÂ×¾§Ìו,20150731,34.6807,
300460.SZ,»ÝÂ×¾§Ìו,20150803,38.1517,
300460.SZ,»ÝÂ×¾§Ìו,20150804,36.1626,
300460.SZ,»ÝÂ×¾§Ìו,20150805,39.5441,
300460.SZ,»ÝÂ×¾§Ìו,20150806,37.3163,
300460.SZ,»ÝÂ×¾§Ìו,20150807,37.3262,
300460.SZ,»ÝÂ×¾§Ìו,20150810,38.3506,
300460.SZ,»ÝÂ×¾§Ìו,20150811,40.4989,
300460.SZ,»ÝÂ×¾§Ìו,20150812,36.6499,
300460.SZ,»ÝÂ×¾§Ìו,20150813,37.2765,
300460.SZ,»ÝÂ×¾§Ìו,20150814,36.64,
300460.SZ,»ÝÂ×¾§Ìו,20150817,35.6355,
300460.SZ,»ÝÂ×¾§Ìו,20150818,32.0749,
300460.SZ,»ÝÂ×¾§Ìו,20150819,31.9655,
300460.SZ,»ÝÂ×¾§Ìו,20150820,29.0315,
300460.SZ,»ÝÂ×¾§Ìו,20150821,26.4954,
300460.SZ,»ÝÂ×¾§Ìו,20150824,23.8498,
300460.SZ,»ÝÂ×¾§Ìו,20150825,21.4628,
300460.SZ,»ÝÂ×¾§Ìו,20150826,22.4276,
300460.SZ,»ÝÂ×¾§Ìו,20150827,23.2033,
300460.SZ,»ÝÂ×¾§Ìו,20150828,24.5062,
300460.SZ,»ÝÂ×¾§Ìו,20150831,22.0596,
300460.SZ,»ÝÂ×¾§Ìו,20150901,19.8516,
300460.SZ,»ÝÂ×¾§Ìו,20150902,18.4891,
300460.SZ,»ÝÂ×¾§Ìו,20150907,19.1853,
300460.SZ,»ÝÂ×¾§Ìו,20150908,20.9655,
300460.SZ,»ÝÂ×¾§Ìו,20150909,22.2784,
300460.SZ,»ÝÂ×¾§Ìו,20150910,21.3136,
300460.SZ,»ÝÂ×¾§Ìו,20150911,21.8408,
300460.SZ,»ÝÂ×¾§Ìו,20150914,19.6527,
300460.SZ,»ÝÂ×¾§Ìו,20150915,17.6835,
300460.SZ,»ÝÂ×¾§Ìו,20150916,19.4538,
300460.SZ,»ÝÂ×¾§Ìו,20150917,18.8968,
300460.SZ,»ÝÂ×¾§Ìו,20150918,19.6925,
300460.SZ,»ÝÂ×¾§Ìו,20150921,21.065,
300460.SZ,»ÝÂ×¾§Ìו,20150922,22.2585,
300460.SZ,»ÝÂ×¾§Ìו,20150923,22.7757,
300460.SZ,»ÝÂ×¾§Ìו,20150924,22.9249,
300460.SZ,»ÝÂ×¾§Ìו,20150925,20.9954,
300460.SZ,»ÝÂ×¾§Ìו,20150928,22.4077,
300460.SZ,»ÝÂ×¾§Ìו,20150929,21.5722,
300460.SZ,»ÝÂ×¾§Ìו,20150930,21.8806,
300460.SZ,»ÝÂ×¾§Ìו,20151008,23.084,
300460.SZ,»ÝÂ×¾§Ìו,20151009,24.3471,
300460.SZ,»ÝÂ×¾§Ìו,20151012,25.6798,
300460.SZ,»ÝÂ×¾§Ìו,20151013,25.1726,
300460.SZ,»ÝÂ×¾§Ìו,20151014,24.9737,
300460.SZ,»ÝÂ×¾§Ìו,20151015,25.8389,
300460.SZ,»ÝÂ×¾§Ìו,20151016,25.5903,
300460.SZ,»ÝÂ×¾§Ìו,20151019,26.4257,
300460.SZ,»ÝÂ×¾§Ìו,20151020,29.0713,
300460.SZ,»ÝÂ×¾§Ìו,20151021,30.6527,
300460.SZ,»ÝÂ×¾§Ìו,20151022,32.0749,
300460.SZ,»ÝÂ×¾§Ìו,20151023,31.7765,
300460.SZ,»ÝÂ×¾§Ìו,20151026,29.857,
300460.SZ,»ÝÂ×¾§Ìו,20151027,29.8371,
300460.SZ,»ÝÂ×¾§Ìו,20151028,28.3154,
300460.SZ,»ÝÂ×¾§Ìו,20151029,28.395,
300460.SZ,»ÝÂ×¾§Ìו,20151030,28.7331,
300460.SZ,»ÝÂ×¾§Ìו,20151102,29.4691,
300460.SZ,»ÝÂ×¾§Ìו,20151103,30.7123,
300460.SZ,»ÝÂ×¾§Ìו,20151104,32.0351,
300460.SZ,»ÝÂ×¾§Ìו,20151105,30.9311,
300460.SZ,»ÝÂ×¾§Ìו,20151106,32.4031,
300460.SZ,»ÝÂ×¾§Ìו,20151109,34.4718,
300460.SZ,»ÝÂ×¾§Ìו,20151110,34.0243,
300460.SZ,»ÝÂ×¾§Ìו,20151111,37.3163,
300460.SZ,»ÝÂ×¾§Ìו,20151112,39.8127,
300460.SZ,»ÝÂ×¾§Ìו,20151113,35.8344,
300460.SZ,»ÝÂ×¾§Ìו,20151116,36.1526,
300460.SZ,»ÝÂ×¾§Ìו,20151117,34.7801,
300460.SZ,»ÝÂ×¾§Ìו,20151118,33.1192,
300460.SZ,»ÝÂ×¾§Ìו,20151119,34.81,
