代码,简称,日期,收盘价(元),
600006.SH,东风汽车,19990727,1.9012,
600006.SH,东风汽车,19990728,1.9438,
600006.SH,东风汽车,19990729,1.9296,
600006.SH,东风汽车,19990730,1.9126,
600006.SH,东风汽车,19990802,1.9211,
600006.SH,东风汽车,19990803,1.8956,
600006.SH,东风汽车,19990804,1.9154,
600006.SH,东风汽车,19990805,1.9552,
600006.SH,东风汽车,19990806,1.9807,
600006.SH,东风汽车,19990809,1.9665,
600006.SH,东风汽车,19990810,1.9353,
600006.SH,东风汽车,19990811,1.8984,
600006.SH,东风汽车,19990812,1.9041,
600006.SH,东风汽车,19990813,1.9239,
600006.SH,东风汽车,19990816,1.9211,
600006.SH,东风汽车,19990817,1.9211,
600006.SH,东风汽车,19990818,1.9183,
600006.SH,东风汽车,19990819,1.9495,
600006.SH,东风汽车,19990820,1.9211,
600006.SH,东风汽车,19990823,1.9211,
600006.SH,东风汽车,19990824,1.9296,
600006.SH,东风汽车,19990825,1.941,
600006.SH,东风汽车,19990826,2.0006,
600006.SH,东风汽车,19990827,1.9835,
600006.SH,东风汽车,19990830,1.9722,
600006.SH,东风汽车,19990831,1.9864,
600006.SH,东风汽车,19990901,1.9353,
600006.SH,东风汽车,19990902,1.958,
600006.SH,东风汽车,19990903,1.9126,
600006.SH,东风汽车,19990906,1.9154,
600006.SH,东风汽车,19990907,1.9211,
600006.SH,东风汽车,19990908,1.9268,
600006.SH,东风汽车,19990909,2.0148,
600006.SH,东风汽车,19990910,2.0488,
600006.SH,东风汽车,19990913,2.0715,
600006.SH,东风汽车,19990914,2.0375,
600006.SH,东风汽车,19990915,2.0431,
600006.SH,东风汽车,19990916,2.0318,
600006.SH,东风汽车,19990917,2.0403,
600006.SH,东风汽车,19990920,1.9864,
600006.SH,东风汽车,19990921,1.9722,
600006.SH,东风汽车,19990922,1.9722,
600006.SH,东风汽车,19990923,1.9495,
600006.SH,东风汽车,19990924,1.9665,
600006.SH,东风汽车,19990927,1.9466,
