����,���,����,���̼�(Ԫ),
600121.SH,*ST֣ú,19980107,2.9807,
600121.SH,*ST֣ú,19980108,3.0423,
600121.SH,*ST֣ú,19980109,3.2049,
600121.SH,*ST֣ú,19980112,3.0669,
600121.SH,*ST֣ú,19980113,3.0743,
600121.SH,*ST֣ú,19980114,3.1975,
600121.SH,*ST֣ú,19980115,3.1039,
600121.SH,*ST֣ú,19980116,3.0719,
600121.SH,*ST֣ú,19980119,3.0251,
600121.SH,*ST֣ú,19980120,3.0004,
600121.SH,*ST֣ú,19980121,3.0423,
600121.SH,*ST֣ú,19980122,2.9807,
600121.SH,*ST֣ú,19980123,2.9955,
600121.SH,*ST֣ú,19980209,3.0768,
600121.SH,*ST֣ú,19980210,2.9955,
600121.SH,*ST֣ú,19980211,3.1236,
600121.SH,*ST֣ú,19980212,3.1138,
600121.SH,*ST֣ú,19980213,3.0793,
600121.SH,*ST֣ú,19980216,3.0226,
600121.SH,*ST֣ú,19980217,3.0546,
600121.SH,*ST֣ú,19980218,2.9857,
600121.SH,*ST֣ú,19980219,2.998,
600121.SH,*ST֣ú,19980220,2.9068,
600121.SH,*ST֣ú,19980223,2.8576,
600121.SH,*ST֣ú,19980224,2.8551,
600121.SH,*ST֣ú,19980225,2.7812,
600121.SH,*ST֣ú,19980226,2.8329,
600121.SH,*ST֣ú,19980227,2.7689,
600121.SH,*ST֣ú,19980302,2.6161,
600121.SH,*ST֣ú,19980303,2.695,
600121.SH,*ST֣ú,19980304,2.7418,
600121.SH,*ST֣ú,19980305,2.6851,
600121.SH,*ST֣ú,19980306,2.7098,
600121.SH,*ST֣ú,19980309,2.7664,
600121.SH,*ST֣ú,19980310,2.7442,
600121.SH,*ST֣ú,19980311,2.7098,
600121.SH,*ST֣ú,19980312,2.6802,
600121.SH,*ST֣ú,19980313,2.6827,
600121.SH,*ST֣ú,19980316,2.7738,
600121.SH,*ST֣ú,19980317,2.8034,
600121.SH,*ST֣ú,19980318,2.7738,
600121.SH,*ST֣ú,19980319,2.759,
600121.SH,*ST֣ú,19980320,2.7738,
600121.SH,*ST֣ú,19980323,2.8452,
600121.SH,*ST֣ú,19980324,2.7837,
600121.SH,*ST֣ú,19980325,2.7319,
600121.SH,*ST֣ú,19980326,2.695,
600121.SH,*ST֣ú,19980327,2.7221,
600121.SH,*ST֣ú,19980330,2.7664,
600121.SH,*ST֣ú,19980331,2.7024,
600121.SH,*ST֣ú,19980401,2.6629,
600121.SH,*ST֣ú,19980402,2.7122,
600121.SH,*ST֣ú,19980403,2.7295,
600121.SH,*ST֣ú,19980406,2.7541,
600121.SH,*ST֣ú,19980407,2.8034,
