´úÂë,¼ò³Æ,ÈÕÆÚ,ÊÕÅÌ¼Û(Ôª),
600439.SH,Èð±´¿¨,20030710,1.0061,
600439.SH,Èð±´¿¨,20030711,0.98,
600439.SH,Èð±´¿¨,20030714,1.0074,
600439.SH,Èð±´¿¨,20030715,1.0081,
600439.SH,Èð±´¿¨,20030716,0.9911,
600439.SH,Èð±´¿¨,20030717,0.9891,
600439.SH,Èð±´¿¨,20030718,0.98,
600439.SH,Èð±´¿¨,20030721,0.944,
600439.SH,Èð±´¿¨,20030722,0.9577,
600439.SH,Èð±´¿¨,20030723,0.9473,
600439.SH,Èð±´¿¨,20030724,0.9218,
600439.SH,Èð±´¿¨,20030725,0.9152,
600439.SH,Èð±´¿¨,20030728,0.9152,
600439.SH,Èð±´¿¨,20030729,0.9251,
600439.SH,Èð±´¿¨,20030730,0.9277,
600439.SH,Èð±´¿¨,20030731,0.9244,
600439.SH,Èð±´¿¨,20030801,0.91,
600439.SH,Èð±´¿¨,20030804,0.9218,
600439.SH,Èð±´¿¨,20030805,0.9198,
600439.SH,Èð±´¿¨,20030806,0.9126,
600439.SH,Èð±´¿¨,20030807,0.9192,
600439.SH,Èð±´¿¨,20030808,0.9087,
600439.SH,Èð±´¿¨,20030811,0.8976,
600439.SH,Èð±´¿¨,20030812,0.9087,
600439.SH,Èð±´¿¨,20030813,0.9172,
600439.SH,Èð±´¿¨,20030814,0.9166,
600439.SH,Èð±´¿¨,20030815,0.9107,
600439.SH,Èð±´¿¨,20030818,0.9107,
600439.SH,Èð±´¿¨,20030819,0.9198,
600439.SH,Èð±´¿¨,20030820,0.9172,
600439.SH,Èð±´¿¨,20030821,0.9146,
600439.SH,Èð±´¿¨,20030822,0.9166,
600439.SH,Èð±´¿¨,20030825,0.9022,
600439.SH,Èð±´¿¨,20030826,0.9375,
600439.SH,Èð±´¿¨,20030827,0.9342,
600439.SH,Èð±´¿¨,20030828,0.9257,
600439.SH,Èð±´¿¨,20030829,0.9597,
600439.SH,Èð±´¿¨,20030901,1.0146,
600439.SH,Èð±´¿¨,20030902,0.9976,
600439.SH,Èð±´¿¨,20030903,0.9904,
600439.SH,Èð±´¿¨,20030904,0.997,
600439.SH,Èð±´¿¨,20030905,0.9564,
600439.SH,Èð±´¿¨,20030908,0.9564,
600439.SH,Èð±´¿¨,20030909,0.9577,
600439.SH,Èð±´¿¨,20030910,0.9571,
600439.SH,Èð±´¿¨,20030911,0.9577,
600439.SH,Èð±´¿¨,20030912,0.9453,
600439.SH,Èð±´¿¨,20030915,0.9427,
600439.SH,Èð±´¿¨,20030916,0.9577,
600439.SH,Èð±´¿¨,20030917,0.9492,
600439.SH,Èð±´¿¨,20030918,0.9296,
600439.SH,Èð±´¿¨,20030919,0.9375,
600439.SH,Èð±´¿¨,20030922,0.9303,
600439.SH,Èð±´¿¨,20030923,0.9473,
600439.SH,Èð±´¿¨,20030924,0.9479,
600439.SH,Èð±´¿¨,20030925,0.9479,
600439.SH,Èð±´¿¨,20030926,0.9486,
600439.SH,Èð±´¿¨,20030929,0.9283,
600439.SH,Èð±´¿¨,20030930,0.9381,
600439.SH,Èð±´¿¨,20031008,0.9401,
600439.SH,Èð±´¿¨,20031009,0.9473,
600439.SH,Èð±´¿¨,20031010,0.9734,
600439.SH,Èð±´¿¨,20031013,0.9728,
600439.SH,Èð±´¿¨,20031014,0.9682,
600439.SH,Èð±´¿¨,20031015,0.9983,
600439.SH,Èð±´¿¨,20031016,0.997,
600439.SH,Èð±´¿¨,20031017,1.0081,
600439.SH,Èð±´¿¨,20031020,0.9852,
600439.SH,Èð±´¿¨,20031021,0.9715,
600439.SH,Èð±´¿¨,20031022,0.9957,
600439.SH,Èð±´¿¨,20031023,0.9708,
600439.SH,Èð±´¿¨,20031024,0.9747,
600439.SH,Èð±´¿¨,20031027,0.9577,
600439.SH,Èð±´¿¨,20031028,0.9708,
