旗鷹,酒各,晩豚,辺徒勺(圷),
601966.SH,早艸態魅,20160706,18.5471,
601966.SH,早艸態魅,20160707,20.4028,
601966.SH,早艸態魅,20160708,22.447,
601966.SH,早艸態魅,20160711,24.6897,
601966.SH,早艸態魅,20160712,27.1607,
601966.SH,早艸態魅,20160713,29.8797,
601966.SH,早艸態魅,20160714,32.8667,
601966.SH,早艸態魅,20160715,36.1514,
601966.SH,早艸態魅,20160718,39.7636,
601966.SH,早艸態魅,20160719,41.7681,
601966.SH,早艸態魅,20160720,39.8529,
601966.SH,早艸態魅,20160721,40.3094,
601966.SH,早艸態魅,20160722,37.888,
601966.SH,早艸態魅,20160725,39.0789,
601966.SH,早艸態魅,20160726,39.188,
601966.SH,早艸態魅,20160727,37.0048,
601966.SH,早艸態魅,20160728,37.0346,
601966.SH,早艸態魅,20160729,37.7888,
601966.SH,早艸態魅,20160801,35.5858,
601966.SH,早艸態魅,20160802,35.7942,
601966.SH,早艸態魅,20160803,36.9751,
601966.SH,早艸態魅,20160804,36.469,
601966.SH,早艸態魅,20160805,35.4865,
601966.SH,早艸態魅,20160808,34.9705,
601966.SH,早艸態魅,20160809,35.2881,
601966.SH,早艸態魅,20160810,36.6377,
601966.SH,早艸態魅,20160811,35.4369,
601966.SH,早艸態魅,20160812,36.1018,
601966.SH,早艸態魅,20160815,36.6377,
601966.SH,早艸態魅,20160816,36.7171,
601966.SH,早艸態魅,20160817,36.7171,
601966.SH,早艸態魅,20160818,36.0621,
601966.SH,早艸態魅,20160819,35.6255,
601966.SH,早艸態魅,20160822,35.6354,
601966.SH,早艸態魅,20160823,35.6552,
601966.SH,早艸態魅,20160824,37.2033,
601966.SH,早艸態魅,20160825,36.2407,
601966.SH,早艸態魅,20160826,36.072,
601966.SH,早艸態魅,20160829,35.8239,
601966.SH,早艸態魅,20160830,35.7942,
601966.SH,早艸態魅,20160831,35.8438,
601966.SH,早艸態魅,20160901,35.2583,
601966.SH,早艸態魅,20160902,34.8217,
601966.SH,早艸態魅,20160905,34.6232,
601966.SH,早艸態魅,20160906,35.0301,
601966.SH,早艸態魅,20160907,34.6133,
601966.SH,早艸態魅,20160908,34.8316,
601966.SH,早艸態魅,20160909,34.2362,
601966.SH,早艸態魅,20160912,32.0927,
601966.SH,早艸態魅,20160913,32.182,
601966.SH,早艸態魅,20160914,31.6858,
601966.SH,早艸態魅,20160919,32.1324,
601966.SH,早艸態魅,20160920,32.4301,
601966.SH,早艸態魅,20160921,31.9141,
601966.SH,早艸態魅,20160922,31.7156,
601966.SH,早艸態魅,20160923,31.14,
601966.SH,早艸態魅,20160926,29.324,
601966.SH,早艸態魅,20160927,29.4233,
601966.SH,早艸態魅,20160928,29.0263,
601966.SH,早艸態魅,20160929,29.0263,
601966.SH,早艸態魅,20160930,28.7485,
