ґъВл,јтіЖ,ИХЖЪ,КХЕМјЫ(ФЄ),
603003.SH,БъУоИјУН,20120817,10.6199,
603003.SH,БъУоИјУН,20120820,9.6175,
603003.SH,БъУоИјУН,20120821,9.7266,
603003.SH,БъУоИјУН,20120822,10.6993,
603003.SH,БъУоИјУН,20120823,11.1658,
603003.SH,БъУоИјУН,20120824,10.5703,
603003.SH,БъУоИјУН,20120827,9.9351,
603003.SH,БъУоИјУН,20120828,10.9276,
603003.SH,БъУоИјУН,20120829,11.1559,
603003.SH,БъУоИјУН,20120830,11.7216,
603003.SH,БъУоИјУН,20120831,11.4238,
603003.SH,БъУоИјУН,20120903,12.5652,
603003.SH,БъУоИјУН,20120904,13.1806,
603003.SH,БъУоИјУН,20120905,12.8233,
603003.SH,БъУоИјУН,20120906,13.0119,
603003.SH,БъУоИјУН,20120907,12.992,
603003.SH,БъУоИјУН,20120910,13.3493,
603003.SH,БъУоИјУН,20120911,12.7935,
603003.SH,БъУоИјУН,20120912,12.6446,
603003.SH,БъУоИјУН,20120913,12.2377,
603003.SH,БъУоИјУН,20120914,12.3866,
603003.SH,БъУоИјУН,20120917,11.7315,
603003.SH,БъУоИјУН,20120918,11.672,
603003.SH,БъУоИјУН,20120919,11.672,
603003.SH,БъУоИјУН,20120920,10.7688,
603003.SH,БъУоИјУН,20120921,10.5703,
603003.SH,БъУоИјУН,20120924,10.7986,
603003.SH,БъУоИјУН,20120925,10.61,
603003.SH,БъУоИјУН,20120926,10.6298,
603003.SH,БъУоИјУН,20120927,10.7192,
603003.SH,БъУоИјУН,20120928,10.8184,
603003.SH,БъУоИјУН,20121008,10.9673,
603003.SH,БъУоИјУН,20121009,11.3147,
603003.SH,БъУоИјУН,20121010,11.2849,
603003.SH,БъУоИјУН,20121011,10.5008,
603003.SH,БъУоИјУН,20121012,10.3222,
603003.SH,БъУоИјУН,20121015,10.4214,
603003.SH,БъУоИјУН,20121016,10.2924,
603003.SH,БъУоИјУН,20121017,10.4611,
603003.SH,БъУоИјУН,20121018,10.5802,
603003.SH,БъУоИјУН,20121019,10.3222,
603003.SH,БъУоИјУН,20121022,10.2229,
603003.SH,БъУоИјУН,20121023,10.213,
