ด๚ย๋,ผ๒ณฦ,ศีฦฺ,สีลฬผÛ(ิช),
603039.SH,ทบฮขอ๘ย็,20170113,21.4138,
603039.SH,ทบฮขอ๘ย็,20170116,23.5592,
603039.SH,ทบฮขอ๘ย็,20170117,25.9141,
603039.SH,ทบฮขอ๘ย็,20170118,28.5085,
603039.SH,ทบฮขอ๘ย็,20170119,31.3623,
603039.SH,ทบฮขอ๘ย็,20170120,34.4956,
603039.SH,ทบฮขอ๘ย็,20170123,37.9481,
603039.SH,ทบฮขอ๘ย็,20170124,41.7399,
603039.SH,ทบฮขอ๘ย็,20170125,45.9109,
603039.SH,ทบฮขอ๘ย็,20170126,50.501,
603039.SH,ทบฮขอ๘ย็,20170203,55.5501,
603039.SH,ทบฮขอ๘ย็,20170206,61.1081,
603039.SH,ทบฮขอ๘ย็,20170207,67.215,
603039.SH,ทบฮขอ๘ย็,20170208,73.9404,
603039.SH,ทบฮขอ๘ย็,20170209,81.3345,
603039.SH,ทบฮขอ๘ย็,20170210,76.5947,
603039.SH,ทบฮขอ๘ย็,20170213,78.0615,
603039.SH,ทบฮขอ๘ย็,20170214,79.9674,
603039.SH,ทบฮขอ๘ย็,20170215,79.8976,
603039.SH,ทบฮขอ๘ย็,20170216,77.6624,
603039.SH,ทบฮขอ๘ย็,20170217,75.5769,
603039.SH,ทบฮขอ๘ย็,20170220,75.088,
603039.SH,ทบฮขอ๘ย็,20170221,76.2954,
603039.SH,ทบฮขอ๘ย็,20170222,79.2091,
603039.SH,ทบฮขอ๘ย็,20170223,79.4585,
603039.SH,ทบฮขอ๘ย็,20170224,79.8078,
603039.SH,ทบฮขอ๘ย็,20170227,77.4229,
603039.SH,ทบฮขอ๘ย็,20170228,79.6282,
603039.SH,ทบฮขอ๘ย็,20170301,81.3245,
603039.SH,ทบฮขอ๘ย็,20170302,80.0273,
603039.SH,ทบฮขอ๘ย็,20170303,81.7735,
603039.SH,ทบฮขอ๘ย็,20170306,86.9124,
603039.SH,ทบฮขอ๘ย็,20170307,85.8946,
603039.SH,ทบฮขอ๘ย็,20170308,81.6737,
603039.SH,ทบฮขอ๘ย็,20170309,80.2368,
603039.SH,ทบฮขอ๘ย็,20170310,80.636,
603039.SH,ทบฮขอ๘ย็,20170313,82.1826,
603039.SH,ทบฮขอ๘ย็,20170314,82.2026,
603039.SH,ทบฮขอ๘ย็,20170315,84.8868,
603039.SH,ทบฮขอ๘ย็,20170316,87.2118,
603039.SH,ทบฮขอ๘ย็,20170317,84.8868,
603039.SH,ทบฮขอ๘ย็,20170320,86.8925,
603039.SH,ทบฮขอ๘ย็,20170321,90.2552,
603039.SH,ทบฮขอ๘ย็,20170322,94.077,
603039.SH,ทบฮขอ๘ย็,20170323,90.2453,
603039.SH,ทบฮขอ๘ย็,20170324,96.2822,
603039.SH,ทบฮขอ๘ย็,20170327,92.9394,
603039.SH,ทบฮขอ๘ย็,20170328,88.5489,
603039.SH,ทบฮขอ๘ย็,20170329,84.7272,
603039.SH,ทบฮขอ๘ย็,20170330,85.3558,
603039.SH,ทบฮขอ๘ย็,20170331,81.8334,
603039.SH,ทบฮขอ๘ย็,20170405,82.6616,
603039.SH,ทบฮขอ๘ย็,20170406,83.4,
603039.SH,ทบฮขอ๘ย็,20170407,81.5939,
603039.SH,ทบฮขอ๘ย็,20170410,73.6311,
603039.SH,ทบฮขอ๘ย็,20170411,76.9539,
603039.SH,ทบฮขอ๘ย็,20170412,75.2975,
603039.SH,ทบฮขอ๘ย็,20170413,76.6845,
603039.SH,ทบฮขอ๘ย็,20170414,75.3374,
603039.SH,ทบฮขอ๘ย็,20170417,70.5478,
603039.SH,ทบฮขอ๘ย็,20170418,69.1109,
603039.SH,ทบฮขอ๘ย็,20170419,71.3161,
603039.SH,ทบฮขอ๘ย็,20170420,70.8671,
603039.SH,ทบฮขอ๘ย็,20170421,71.9547,
603039.SH,ทบฮขอ๘ย็,20170424,69.8792,
603039.SH,ทบฮขอ๘ย็,20170425,69.9091,
603039.SH,ทบฮขอ๘ย็,20170426,70.0588,
603039.SH,ทบฮขอ๘ย็,20170427,72.5235,
603039.SH,ทบฮขอ๘ย็,20170428,72.304,
603039.SH,ทบฮขอ๘ย็,20170502,71.6554,
603039.SH,ทบฮขอ๘ย็,20170503,71.3361,
603039.SH,ทบฮขอ๘ย็,20170504,69.5399,
603039.SH,ทบฮขอ๘ย็,20170505,68.8414,
603039.SH,ทบฮขอ๘ย็,20170508,65.5685,
603039.SH,ทบฮขอ๘ย็,20170509,65.349,
603039.SH,ทบฮขอ๘ย็,20170510,64.7503,
603039.SH,ทบฮขอ๘ย็,20170511,67.5442,
603039.SH,ทบฮขอ๘ย็,20170512,67.7239,
603039.SH,ทบฮขอ๘ย็,20170515,68.3226,
603039.SH,ทบฮขอ๘ย็,20170516,68.6119,
603039.SH,ทบฮขอ๘ย็,20170517,69.0809,
603039.SH,ทบฮขอ๘ย็,20170518,67.9733,
603039.SH,ทบฮขอ๘ย็,20170519,69.5,
603039.SH,ทบฮขอ๘ย็,20170522,63.82,
603039.SH,ทบฮขอ๘ย็,20170523,63.45,
603039.SH,ทบฮขอ๘ย็,20170524,63.13,
603039.SH,ทบฮขอ๘ย็,20170525,62.66,
603039.SH,ทบฮขอ๘ย็,20170526,63.07,
603039.SH,ทบฮขอ๘ย็,20170531,63.17,
603039.SH,ทบฮขอ๘ย็,20170601,60.36,
603039.SH,ทบฮขอ๘ย็,20170602,62.01,
603039.SH,ทบฮขอ๘ย็,20170605,63.33,
603039.SH,ทบฮขอ๘ย็,20170606,63.09,
603039.SH,ทบฮขอ๘ย็,20170607,65.33,
603039.SH,ทบฮขอ๘ย็,20170608,65,
603039.SH,ทบฮขอ๘ย็,20170609,65.51,
603039.SH,ทบฮขอ๘ย็,20170612,63.41,
603039.SH,ทบฮขอ๘ย็,20170613,64.84,
603039.SH,ทบฮขอ๘ย็,20170614,66.64,
603039.SH,ทบฮขอ๘ย็,20170615,67.42,
603039.SH,ทบฮขอ๘ย็,20170616,65.7,
603039.SH,ทบฮขอ๘ย็,20170619,65.26,
603039.SH,ทบฮขอ๘ย็,20170620,65.06,
603039.SH,ทบฮขอ๘ย็,20170621,64.78,
603039.SH,ทบฮขอ๘ย็,20170622,62.79,
603039.SH,ทบฮขอ๘ย็,20170623,62.62,
603039.SH,ทบฮขอ๘ย็,20170626,63.09,
603039.SH,ทบฮขอ๘ย็,20170627,63.14,
603039.SH,ทบฮขอ๘ย็,20170628,62.23,
603039.SH,ทบฮขอ๘ย็,20170629,62.66,
603039.SH,ทบฮขอ๘ย็,20170630,63.55,
603039.SH,ทบฮขอ๘ย็,20170703,64.61,
603039.SH,ทบฮขอ๘ย็,20170704,64.47,
603039.SH,ทบฮขอ๘ย็,20170705,65.07,
603039.SH,ทบฮขอ๘ย็,20170706,65.07,
603039.SH,ทบฮขอ๘ย็,20170707,67.96,
603039.SH,ทบฮขอ๘ย็,20170710,66.74,
603039.SH,ทบฮขอ๘ย็,20170711,63.42,
603039.SH,ทบฮขอ๘ย็,20170712,64.1,
603039.SH,ทบฮขอ๘ย็,20170713,62.91,
603039.SH,ทบฮขอ๘ย็,20170714,61.94,
603039.SH,ทบฮขอ๘ย็,20170717,56.6,
603039.SH,ทบฮขอ๘ย็,20170718,57.12,
603039.SH,ทบฮขอ๘ย็,20170719,57.11,
603039.SH,ทบฮขอ๘ย็,20170720,56.74,
603039.SH,ทบฮขอ๘ย็,20170721,53.88,
603039.SH,ทบฮขอ๘ย็,20170724,54.92,
603039.SH,ทบฮขอ๘ย็,20170725,55.71,
603039.SH,ทบฮขอ๘ย็,20170726,57.4,
603039.SH,ทบฮขอ๘ย็,20170727,58.37,
603039.SH,ทบฮขอ๘ย็,20170728,57.15,
603039.SH,ทบฮขอ๘ย็,20170731,57.09,
