ДњТы,МђГЦ,ШеЦк,ЪеХЬМл(дЊ),
603127.SH,еббмаТвЉ,20170825,18.01,
603127.SH,еббмаТвЉ,20170828,19.81,
603127.SH,еббмаТвЉ,20170829,21.79,
603127.SH,еббмаТвЉ,20170830,23.97,
603127.SH,еббмаТвЉ,20170831,26.37,
603127.SH,еббмаТвЉ,20170901,29.01,
603127.SH,еббмаТвЉ,20170904,31.91,
603127.SH,еббмаТвЉ,20170905,35.1,
603127.SH,еббмаТвЉ,20170906,38.61,
603127.SH,еббмаТвЉ,20170907,42.47,
603127.SH,еббмаТвЉ,20170908,46.72,
603127.SH,еббмаТвЉ,20170911,51.39,
603127.SH,еббмаТвЉ,20170912,56.53,
603127.SH,еббмаТвЉ,20170913,62.18,
603127.SH,еббмаТвЉ,20170914,68.4,
603127.SH,еббмаТвЉ,20170915,75.24,
603127.SH,еббмаТвЉ,20170918,67.72,
603127.SH,еббмаТвЉ,20170919,67.81,
603127.SH,еббмаТвЉ,20170920,65.62,
603127.SH,еббмаТвЉ,20170921,64.06,
603127.SH,еббмаТвЉ,20170922,62.26,
603127.SH,еббмаТвЉ,20170925,63.6,
603127.SH,еббмаТвЉ,20170926,59.13,
603127.SH,еббмаТвЉ,20170927,58.11,
603127.SH,еббмаТвЉ,20170928,57.7,
603127.SH,еббмаТвЉ,20170929,59,
603127.SH,еббмаТвЉ,20171009,57.68,
603127.SH,еббмаТвЉ,20171010,61.54,
603127.SH,еббмаТвЉ,20171011,59.14,
603127.SH,еббмаТвЉ,20171012,56.19,
603127.SH,еббмаТвЉ,20171013,56.75,
603127.SH,еббмаТвЉ,20171016,56.59,
603127.SH,еббмаТвЉ,20171017,56.81,
603127.SH,еббмаТвЉ,20171018,58.05,
603127.SH,еббмаТвЉ,20171019,58.64,
603127.SH,еббмаТвЉ,20171020,57.65,
603127.SH,еббмаТвЉ,20171023,59.56,
603127.SH,еббмаТвЉ,20171024,60.48,
603127.SH,еббмаТвЉ,20171025,60.71,
603127.SH,еббмаТвЉ,20171026,61.61,
603127.SH,еббмаТвЉ,20171027,63.88,
603127.SH,еббмаТвЉ,20171030,67.12,
603127.SH,еббмаТвЉ,20171031,68.86,
603127.SH,еббмаТвЉ,20171101,72.44,
603127.SH,еббмаТвЉ,20171102,73.02,
603127.SH,еббмаТвЉ,20171103,69.48,
603127.SH,еббмаТвЉ,20171106,69.23,
603127.SH,еббмаТвЉ,20171107,71.37,
603127.SH,еббмаТвЉ,20171108,70.05,
603127.SH,еббмаТвЉ,20171109,66.41,
603127.SH,еббмаТвЉ,20171110,66.97,
603127.SH,еббмаТвЉ,20171113,70.69,
603127.SH,еббмаТвЉ,20171114,71.31,
603127.SH,еббмаТвЉ,20171115,68.99,
603127.SH,еббмаТвЉ,20171116,65.37,
603127.SH,еббмаТвЉ,20171117,59.75,
603127.SH,еббмаТвЉ,20171120,59.57,
603127.SH,еббмаТвЉ,20171121,58.71,
603127.SH,еббмаТвЉ,20171122,58.62,
603127.SH,еббмаТвЉ,20171123,57.71,
603127.SH,еббмаТвЉ,20171124,54.66,
603127.SH,еббмаТвЉ,20171127,52.33,
603127.SH,еббмаТвЉ,20171128,54.26,
603127.SH,еббмаТвЉ,20171129,54.86,
603127.SH,еббмаТвЉ,20171130,55.61,
603127.SH,еббмаТвЉ,20171201,57.96,
603127.SH,еббмаТвЉ,20171204,55.13,
603127.SH,еббмаТвЉ,20171205,51.18,
603127.SH,еббмаТвЉ,20171206,52.52,
603127.SH,еббмаТвЉ,20171207,52.25,
603127.SH,еббмаТвЉ,20171208,54.79,
603127.SH,еббмаТвЉ,20171211,55.86,
603127.SH,еббмаТвЉ,20171212,53.18,
603127.SH,еббмаТвЉ,20171213,54.99,
603127.SH,еббмаТвЉ,20171214,54.77,
603127.SH,еббмаТвЉ,20171215,52.22,
603127.SH,еббмаТвЉ,20171218,51,
603127.SH,еббмаТвЉ,20171219,51.83,
603127.SH,еббмаТвЉ,20171220,49.95,
603127.SH,еббмаТвЉ,20171221,50.07,
603127.SH,еббмаТвЉ,20171222,52.61,
603127.SH,еббмаТвЉ,20171225,54.87,
603127.SH,еббмаТвЉ,20171226,55.65,
603127.SH,еббмаТвЉ,20171227,54.15,
603127.SH,еббмаТвЉ,20171228,54.02,
603127.SH,еббмаТвЉ,20171229,55.53,
603127.SH,еббмаТвЉ,20180102,56.77,
603127.SH,еббмаТвЉ,20180103,55.86,
603127.SH,еббмаТвЉ,20180104,55.32,
603127.SH,еббмаТвЉ,20180105,55.43,
603127.SH,еббмаТвЉ,20180108,57.72,
603127.SH,еббмаТвЉ,20180109,58.98,
603127.SH,еббмаТвЉ,20180110,56.82,
603127.SH,еббмаТвЉ,20180111,57.53,
603127.SH,еббмаТвЉ,20180112,56.7,
603127.SH,еббмаТвЉ,20180115,52.03,
603127.SH,еббмаТвЉ,20180116,54.5,
603127.SH,еббмаТвЉ,20180117,56.07,
603127.SH,еббмаТвЉ,20180118,56.91,
603127.SH,еббмаТвЉ,20180119,56.53,
603127.SH,еббмаТвЉ,20180122,56.65,
603127.SH,еббмаТвЉ,20180123,57.2,
603127.SH,еббмаТвЉ,20180124,57.67,
603127.SH,еббмаТвЉ,20180125,58.66,
603127.SH,еббмаТвЉ,20180126,56.92,
603127.SH,еббмаТвЉ,20180129,55.44,
603127.SH,еббмаТвЉ,20180130,54.78,
603127.SH,еббмаТвЉ,20180131,54.86,
603127.SH,еббмаТвЉ,20180201,53.59,
603127.SH,еббмаТвЉ,20180202,52.18,
603127.SH,еббмаТвЉ,20180205,50.64,
603127.SH,еббмаТвЉ,20180206,46.15,
603127.SH,еббмаТвЉ,20180207,46.8,
603127.SH,еббмаТвЉ,20180208,47.69,
603127.SH,еббмаТвЉ,20180209,46.4,
603127.SH,еббмаТвЉ,20180212,48.1,
603127.SH,еббмаТвЉ,20180213,47.78,
603127.SH,еббмаТвЉ,20180214,47.8,
603127.SH,еббмаТвЉ,20180222,49.71,
603127.SH,еббмаТвЉ,20180223,50.97,
603127.SH,еббмаТвЉ,20180226,53.86,
603127.SH,еббмаТвЉ,20180227,53.89,
603127.SH,еббмаТвЉ,20180228,50.98,
603127.SH,еббмаТвЉ,20180301,51.72,
