測鎢,潠備,�梪�,彶攫歎(啋),
603566.SH,ぱ應螞,20150518,11.0061,
603566.SH,ぱ應螞,20150519,12.1092,
603566.SH,ぱ應螞,20150520,13.3206,
603566.SH,ぱ應螞,20150521,14.6551,
603566.SH,ぱ應螞,20150522,16.1226,
603566.SH,ぱ應螞,20150525,17.7329,
603566.SH,ぱ應螞,20150526,19.5057,
603566.SH,ぱ應螞,20150527,21.4558,
603566.SH,ぱ應螞,20150528,23.6028,
603566.SH,ぱ應螞,20150529,25.9617,
603566.SH,ぱ應螞,20150601,28.5568,
603566.SH,ぱ應螞,20150602,31.413,
603566.SH,ぱ應螞,20150603,34.5548,
603566.SH,ぱ應螞,20150604,38.0118,
603566.SH,ぱ應螞,20150605,41.8134,
603566.SH,ぱ應螞,20150608,37.6326,
603566.SH,ぱ應螞,20150609,33.8703,
603566.SH,ぱ應螞,20150610,35.1999,
603566.SH,ぱ應螞,20150611,38.7209,
603566.SH,ぱ應螞,20150612,35.8598,
603566.SH,ぱ應螞,20150615,32.2748,
603566.SH,ぱ應螞,20150616,29.1133,
603566.SH,ぱ應螞,20150617,30.2213,
603566.SH,ぱ應螞,20150618,27.1977,
603566.SH,ぱ應螞,20150619,26.2374,
603566.SH,ぱ應螞,20150623,27.6113,
603566.SH,ぱ應螞,20150624,27.4685,
603566.SH,ぱ應螞,20150625,25.4397,
603566.SH,ぱ應螞,20150626,22.8937,
603566.SH,ぱ應螞,20150629,20.6039,
603566.SH,ぱ應螞,20150630,22.0861,
603566.SH,ぱ應螞,20150701,20.5054,
603566.SH,ぱ應螞,20150702,20.1656,
603566.SH,ぱ應螞,20150703,19.3925,
603566.SH,ぱ應螞,20150706,20.1311,
603566.SH,ぱ應螞,20150707,18.117,
603566.SH,ぱ應螞,20150708,16.3048,
603566.SH,ぱ應螞,20150709,16.3048,
603566.SH,ぱ應螞,20150710,16.3048,
603566.SH,ぱ應螞,20150713,17.9348,
603566.SH,ぱ應螞,20150714,19.7273,
603566.SH,ぱ應螞,20150715,19.2053,
603566.SH,ぱ應螞,20150716,19.9341,
603566.SH,ぱ應螞,20150717,21.5346,
603566.SH,ぱ應螞,20150720,21.6626,
603566.SH,ぱ應螞,20150721,23.8294,
603566.SH,ぱ應螞,20150722,23.593,
603566.SH,ぱ應螞,20150723,25.4249,
