╢ЗбК,╪РЁф,хуфз,йуел╪ш(т╙),
603896.SH,йыои╧х,20170510,16.62,
603896.SH,йыои╧х,20170511,18.28,
603896.SH,йыои╧х,20170512,20.11,
603896.SH,йыои╧х,20170515,22.12,
603896.SH,йыои╧х,20170516,24.33,
603896.SH,йыои╧х,20170517,26.76,
603896.SH,йыои╧х,20170518,29.44,
603896.SH,йыои╧х,20170519,32.38,
603896.SH,йыои╧х,20170522,29.14,
603896.SH,йыои╧х,20170523,32.05,
603896.SH,йыои╧х,20170524,35.26,
603896.SH,йыои╧х,20170525,38.79,
603896.SH,йыои╧х,20170526,42.67,
603896.SH,йыои╧х,20170531,45.06,
603896.SH,йыои╧х,20170601,42.56,
603896.SH,йыои╧х,20170602,41.87,
603896.SH,йыои╧х,20170605,39.63,
603896.SH,йыои╧х,20170606,37.84,
603896.SH,йыои╧х,20170607,39.76,
603896.SH,йыои╧х,20170608,37.24,
603896.SH,йыои╧х,20170609,38.17,
603896.SH,йыои╧х,20170612,40.57,
603896.SH,йыои╧х,20170613,40.83,
603896.SH,йыои╧х,20170614,39.38,
603896.SH,йыои╧х,20170615,43.32,
603896.SH,йыои╧х,20170616,42.13,
603896.SH,йыои╧х,20170619,42.31,
603896.SH,йыои╧х,20170620,41.2,
603896.SH,йыои╧х,20170621,41.53,
603896.SH,йыои╧х,20170622,37.82,
603896.SH,йыои╧х,20170623,38.63,
603896.SH,йыои╧х,20170626,38.55,
603896.SH,йыои╧х,20170627,38.97,
603896.SH,йыои╧х,20170628,38.69,
603896.SH,йыои╧х,20170629,38.71,
603896.SH,йыои╧х,20170630,39.01,
603896.SH,йыои╧х,20170703,39.02,
603896.SH,йыои╧х,20170704,40.83,
603896.SH,йыои╧х,20170705,40.98,
603896.SH,йыои╧х,20170706,40.44,
603896.SH,йыои╧х,20170707,41.5,
603896.SH,йыои╧х,20170710,38.55,
603896.SH,йыои╧х,20170711,38.04,
603896.SH,йыои╧х,20170712,38.48,
603896.SH,йыои╧х,20170713,37.78,
603896.SH,йыои╧х,20170714,37.48,
603896.SH,йыои╧х,20170717,33.73,
603896.SH,йыои╧х,20170718,32.85,
603896.SH,йыои╧х,20170719,33.02,
603896.SH,йыои╧х,20170720,33.17,
603896.SH,йыои╧х,20170721,31.81,
603896.SH,йыои╧х,20170724,31.8,
603896.SH,йыои╧х,20170725,31.74,
603896.SH,йыои╧х,20170726,31.08,
603896.SH,йыои╧х,20170727,32.8,
603896.SH,йыои╧х,20170728,31.64,
603896.SH,йыои╧х,20170731,31.86,
603896.SH,йыои╧х,20170801,34.13,
603896.SH,йыои╧х,20170802,33.57,
603896.SH,йыои╧х,20170803,33.67,
603896.SH,йыои╧х,20170804,32.71,
603896.SH,йыои╧х,20170807,32.81,
603896.SH,йыои╧х,20170808,32.29,
603896.SH,йыои╧х,20170809,31.91,
603896.SH,йыои╧х,20170810,30.89,
603896.SH,йыои╧х,20170811,31,
603896.SH,йыои╧х,20170814,31.49,
603896.SH,йыои╧х,20170815,32.8,
603896.SH,йыои╧х,20170816,33.03,
603896.SH,йыои╧х,20170817,32.78,
603896.SH,йыои╧х,20170818,32.94,
603896.SH,йыои╧х,20170821,33.88,
603896.SH,йыои╧х,20170822,33.34,
603896.SH,йыои╧х,20170823,33.98,
603896.SH,йыои╧х,20170824,32.93,
603896.SH,йыои╧х,20170825,33.78,
603896.SH,йыои╧х,20170828,34.88,
603896.SH,йыои╧х,20170829,36.57,
603896.SH,йыои╧х,20170830,35.63,
603896.SH,йыои╧х,20170831,36.1,
603896.SH,йыои╧х,20170901,35.4,
603896.SH,йыои╧х,20170904,35.12,
603896.SH,йыои╧х,20170905,35.95,
603896.SH,йыои╧х,20170906,35.28,
603896.SH,йыои╧х,20170907,35.39,
603896.SH,йыои╧х,20170908,35.99,
603896.SH,йыои╧х,20170911,36.49,
603896.SH,йыои╧х,20170912,35.32,
603896.SH,йыои╧х,20170913,35.32,
603896.SH,йыои╧х,20170914,35.17,
603896.SH,йыои╧х,20170915,34.25,
603896.SH,йыои╧х,20170918,34.49,
603896.SH,йыои╧х,20170919,34.88,
603896.SH,йыои╧х,20170920,35.23,
603896.SH,йыои╧х,20170921,35.25,
603896.SH,йыои╧х,20170922,36.29,
603896.SH,йыои╧х,20170925,35.98,
603896.SH,йыои╧х,20170926,34.25,
603896.SH,йыои╧х,20170927,34.5,
603896.SH,йыои╧х,20170928,35.27,
603896.SH,йыои╧х,20170929,36.54,
603896.SH,йыои╧х,20171009,38.73,
603896.SH,йыои╧х,20171010,40.72,
603896.SH,йыои╧х,20171011,39.71,
603896.SH,йыои╧х,20171012,43.68,
603896.SH,йыои╧х,20171013,43.88,
603896.SH,йыои╧х,20171016,43.92,
603896.SH,йыои╧х,20171017,42.34,
603896.SH,йыои╧х,20171018,46.57,
603896.SH,йыои╧х,20171019,44.88,
603896.SH,йыои╧х,20171020,47.13,
603896.SH,йыои╧х,20171023,48.8,
603896.SH,йыои╧х,20171024,53.68,
603896.SH,йыои╧х,20171025,59.05,
603896.SH,йыои╧х,20171026,57.51,
603896.SH,йыои╧х,20171027,55.64,
603896.SH,йыои╧х,20171030,58.95,
603896.SH,йыои╧х,20171031,57.47,
603896.SH,йыои╧х,20171101,61.96,
603896.SH,йыои╧х,20171102,59.07,
603896.SH,йыои╧х,20171103,55.74,
603896.SH,йыои╧х,20171106,58.38,
603896.SH,йыои╧х,20171107,58.8,
603896.SH,йыои╧х,20171108,59.82,
603896.SH,йыои╧х,20171109,58.71,
603896.SH,йыои╧х,20171110,59.46,
603896.SH,йыои╧х,20171113,63.87,
603896.SH,йыои╧х,20171114,67.17,
603896.SH,йыои╧х,20171115,67.81,
603896.SH,йыои╧х,20171116,66.6,
603896.SH,йыои╧х,20171117,65,
603896.SH,йыои╧х,20171120,65.04,
603896.SH,йыои╧х,20171121,62.32,
603896.SH,йыои╧х,20171122,58.07,
603896.SH,йыои╧х,20171123,56.33,
603896.SH,йыои╧х,20171124,54.76,
603896.SH,йыои╧х,20171127,49.56,
603896.SH,йыои╧х,20171128,50.92,
603896.SH,йыои╧х,20171129,50.44,
603896.SH,йыои╧х,20171130,52.7,
603896.SH,йыои╧х,20171201,52.98,
603896.SH,йыои╧х,20171204,50.45,
603896.SH,йыои╧х,20171205,45.41,
603896.SH,йыои╧х,20171206,47.12,
603896.SH,йыои╧х,20171207,46.09,
603896.SH,йыои╧х,20171208,48.35,
603896.SH,йыои╧х,20171211,48.55,
603896.SH,йыои╧х,20171212,50.15,
603896.SH,йыои╧х,20171213,50.69,
603896.SH,йыои╧х,20171214,51.87,
603896.SH,йыои╧х,20171215,50.91,
603896.SH,йыои╧х,20171218,51.04,
603896.SH,йыои╧х,20171219,50.38,
603896.SH,йыои╧х,20171220,53.32,
603896.SH,йыои╧х,20171221,55.38,
603896.SH,йыои╧х,20171222,55.36,
603896.SH,йыои╧х,20171225,59.61,
603896.SH,йыои╧х,20171226,59.55,
603896.SH,йыои╧х,20171227,57.11,
603896.SH,йыои╧х,20171228,57.08,
603896.SH,йыои╧х,20171229,57.1,
603896.SH,йыои╧х,20180102,57.87,
603896.SH,йыои╧х,20180103,56.09,
603896.SH,йыои╧х,20180104,56.17,
603896.SH,йыои╧х,20180105,56.55,
