іъ¬л,Љт≥∆,»’∆Џ, ’≈ћЉџ(‘™),
603993.SH,¬е—фов“µ,20121009,2.9835,
603993.SH,¬е—фов“µ,20121010,3.2809,
603993.SH,¬е—фов“µ,20121011,2.9989,
603993.SH,¬е—фов“µ,20121012,2.8162,
603993.SH,¬е—фов“µ,20121015,2.8224,
603993.SH,¬е—фов“µ,20121016,2.7449,
603993.SH,¬е—фов“µ,20121017,2.7139,
603993.SH,¬е—фов“µ,20121018,2.7914,
603993.SH,¬е—фов“µ,20121019,2.6922,
603993.SH,¬е—фов“µ,20121022,2.6427,
603993.SH,¬е—фов“µ,20121023,2.7697,
603993.SH,¬е—фов“µ,20121024,2.7232,
603993.SH,¬е—фов“µ,20121025,2.6334,
603993.SH,¬е—фов“µ,20121026,2.4754,
603993.SH,¬е—фов“µ,20121029,2.4816,
603993.SH,¬е—фов“µ,20121030,2.4909,
603993.SH,¬е—фов“µ,20121031,2.4723,
603993.SH,¬е—фов“µ,20121101,2.5497,
603993.SH,¬е—фов“µ,20121102,2.6024,
603993.SH,¬е—фов“µ,20121105,2.528,
603993.SH,¬е—фов“µ,20121106,2.5187,
603993.SH,¬е—фов“µ,20121107,2.5807,
603993.SH,¬е—фов“µ,20121108,2.4568,
603993.SH,¬е—фов“µ,20121109,2.4723,
603993.SH,¬е—фов“µ,20121112,2.4816,
603993.SH,¬е—фов“µ,20121113,2.37,
603993.SH,¬е—фов“µ,20121114,2.3855,
603993.SH,¬е—фов“µ,20121115,2.274,
603993.SH,¬е—фов“µ,20121116,2.2337,
603993.SH,¬е—фов“µ,20121119,2.3267,
603993.SH,¬е—фов“µ,20121120,2.2554,
603993.SH,¬е—фов“µ,20121121,2.2988,
603993.SH,¬е—фов“µ,20121122,2.2678,
603993.SH,¬е—фов“µ,20121123,2.2864,
603993.SH,¬е—фов“µ,20121126,2.2275,
603993.SH,¬е—фов“µ,20121127,2.1036,
603993.SH,¬е—фов“µ,20121128,2.0726,
603993.SH,¬е—фов“µ,20121129,2.0076,
603993.SH,¬е—фов“µ,20121130,2.0323,
603993.SH,¬е—фов“µ,20121203,1.9828,
603993.SH,¬е—фов“µ,20121204,2.0416,
603993.SH,¬е—фов“µ,20121205,2.1315,
603993.SH,¬е—фов“µ,20121206,2.1067,
603993.SH,¬е—фов“µ,20121207,2.2027,
603993.SH,¬е—фов“µ,20121210,2.2554,
603993.SH,¬е—фов“µ,20121211,2.2337,
603993.SH,¬е—фов“µ,20121212,2.2368,
603993.SH,¬е—фов“µ,20121213,2.1594,
603993.SH,¬е—фов“µ,20121214,2.3762,
603993.SH,¬е—фов“µ,20121217,2.5033,
603993.SH,¬е—фов“µ,20121218,2.4878,
603993.SH,¬е—фов“µ,20121219,2.4537,
603993.SH,¬е—фов“µ,20121220,2.5869,
603993.SH,¬е—фов“µ,20121221,2.5125,
603993.SH,¬е—фов“µ,20121224,2.5156,
603993.SH,¬е—фов“µ,20121225,2.5745,
603993.SH,¬е—фов“µ,20121226,2.6551,
603993.SH,¬е—фов“µ,20121227,2.5497,
603993.SH,¬е—фов“µ,20121228,2.5842,
603993.SH,¬е—фов“µ,20121231,2.6092,
603993.SH,¬е—фов“µ,20130104,2.6249,
603993.SH,¬е—фов“µ,20130107,2.5873,
603993.SH,¬е—фов“µ,20130108,2.6531,
603993.SH,¬е—фов“µ,20130109,2.6218,
